branch,r,seed,negative_controls_checked,negative_control_naive_matches,negative_control_expected_failures,status
include_zero,1,0,40,0,40,PASS_NEGATIVE_CONTROL
include_zero,1,1,40,0,40,PASS_NEGATIVE_CONTROL
include_zero,1,2,40,0,40,PASS_NEGATIVE_CONTROL
include_zero,1,3,40,0,40,PASS_NEGATIVE_CONTROL
include_zero,1,4,40,0,40,PASS_NEGATIVE_CONTROL
include_zero,1,5,40,0,40,PASS_NEGATIVE_CONTROL
include_zero,1,6,40,0,40,PASS_NEGATIVE_CONTROL
include_zero,1,7,40,0,40,PASS_NEGATIVE_CONTROL
include_zero,1,8,40,0,40,PASS_NEGATIVE_CONTROL
include_zero,1,9,40,0,40,PASS_NEGATIVE_CONTROL
include_zero,2,0,80,0,80,PASS_NEGATIVE_CONTROL
include_zero,2,1,80,0,80,PASS_NEGATIVE_CONTROL
include_zero,2,2,80,0,80,PASS_NEGATIVE_CONTROL
include_zero,2,3,80,0,80,PASS_NEGATIVE_CONTROL
include_zero,2,4,80,2,78,PASS_NEGATIVE_CONTROL
include_zero,2,5,80,0,80,PASS_NEGATIVE_CONTROL
include_zero,2,6,80,0,80,PASS_NEGATIVE_CONTROL
include_zero,2,7,80,0,80,PASS_NEGATIVE_CONTROL
include_zero,2,8,80,0,80,PASS_NEGATIVE_CONTROL
include_zero,2,9,80,0,80,PASS_NEGATIVE_CONTROL
include_zero,4,0,160,0,160,PASS_NEGATIVE_CONTROL
include_zero,4,1,160,1,159,PASS_NEGATIVE_CONTROL
include_zero,4,2,160,0,160,PASS_NEGATIVE_CONTROL
include_zero,4,3,160,2,158,PASS_NEGATIVE_CONTROL
include_zero,4,4,160,2,158,PASS_NEGATIVE_CONTROL
include_zero,4,5,160,0,160,PASS_NEGATIVE_CONTROL
include_zero,4,6,160,0,160,PASS_NEGATIVE_CONTROL
include_zero,4,7,160,0,160,PASS_NEGATIVE_CONTROL
include_zero,4,8,160,0,160,PASS_NEGATIVE_CONTROL
include_zero,4,9,160,0,160,PASS_NEGATIVE_CONTROL
ternary,1,0,40,2,38,PASS_NEGATIVE_CONTROL
ternary,1,1,40,0,40,PASS_NEGATIVE_CONTROL
ternary,1,2,40,0,40,PASS_NEGATIVE_CONTROL
ternary,1,3,40,0,40,PASS_NEGATIVE_CONTROL
ternary,1,4,40,0,40,PASS_NEGATIVE_CONTROL
ternary,1,5,40,0,40,PASS_NEGATIVE_CONTROL
ternary,1,6,40,0,40,PASS_NEGATIVE_CONTROL
ternary,1,7,40,1,39,PASS_NEGATIVE_CONTROL
ternary,1,8,40,0,40,PASS_NEGATIVE_CONTROL
ternary,1,9,40,0,40,PASS_NEGATIVE_CONTROL
ternary,2,0,80,4,76,PASS_NEGATIVE_CONTROL
ternary,2,1,80,1,79,PASS_NEGATIVE_CONTROL
ternary,2,2,80,1,79,PASS_NEGATIVE_CONTROL
ternary,2,3,80,3,77,PASS_NEGATIVE_CONTROL
ternary,2,4,80,1,79,PASS_NEGATIVE_CONTROL
ternary,2,5,80,3,77,PASS_NEGATIVE_CONTROL
ternary,2,6,80,1,79,PASS_NEGATIVE_CONTROL
ternary,2,7,80,3,77,PASS_NEGATIVE_CONTROL
ternary,2,8,80,0,80,PASS_NEGATIVE_CONTROL
ternary,2,9,80,0,80,PASS_NEGATIVE_CONTROL
ternary,4,0,160,4,156,PASS_NEGATIVE_CONTROL
ternary,4,1,160,3,157,PASS_NEGATIVE_CONTROL
ternary,4,2,160,3,157,PASS_NEGATIVE_CONTROL
ternary,4,3,160,5,155,PASS_NEGATIVE_CONTROL
ternary,4,4,160,3,157,PASS_NEGATIVE_CONTROL
ternary,4,5,160,6,154,PASS_NEGATIVE_CONTROL
ternary,4,6,160,2,158,PASS_NEGATIVE_CONTROL
ternary,4,7,160,3,157,PASS_NEGATIVE_CONTROL
ternary,4,8,160,1,159,PASS_NEGATIVE_CONTROL
ternary,4,9,160,1,159,PASS_NEGATIVE_CONTROL
