probe,r,N,q,seed,omitted_component,mismatches,status,interpretation
omit_input_component,2,8,257,0,0,24,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,2,8,257,0,1,24,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,2,8,257,0,2,24,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,2,8,257,1,0,22,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,2,8,257,1,1,24,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,2,8,257,1,2,24,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,2,8,257,2,0,24,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,2,8,257,2,1,24,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,2,8,257,2,2,24,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,2,8,257,3,0,23,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,2,8,257,3,1,24,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,2,8,257,3,2,24,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,2,8,257,4,0,24,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,2,8,257,4,1,24,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,2,8,257,4,2,24,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,0,0,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,0,1,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,0,2,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,0,3,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,0,4,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,1,0,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,1,1,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,1,2,39,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
omit_input_component,4,8,257,1,3,40,PASS_COUNTEREXAMPLE,"A general dense selector can depend on the omitted component, so component skipping is not sound without extra structure."
