item_id,category,requirement,status,evidence,scope,remaining_action
A1,scoped_engineering,Final engineering standards F1-F8 are mapped to evidence,PASS_SCOPED,repro/stage27_completion_readiness_audit.csv,8/8 final standards satisfied or scoped-satisfied,Fill missing final-standard evidence before claiming scoped engineering completion.
A2,performance,Target complete-SAB r=2/r=4 speedups over repeated scalar are positive under the same backend,PASS_SCOPED,repro/stage27_final_evidence_package/performance_scope.csv,"target binary SET_2_3_2048, r=2/r=4, spqlios_avx512 final rerun",Re-run target full-SAB A/B until both r=2 and r=4 pass with positive speedup.
A2b,performance_high_stat,Stage 36 target complete-SAB r=2/r=4 has 10-run same-backend performance support,PASS_10RUN_TARGET_PERF,repro/stage36_target_perf_summary.csv,optional stronger statistical target-performance evidence,Fix or rerun Stage 36 target_perf before using 10-run statistical wording.
A3,correctness_noise,Target promoted path has 50-seed final-output noise/correctness support,PASS_SCOPED,repro/stage27_final_evidence_package/noise_scope.csv,"target binary SET_2_3_2048, r=2/r=4",Expand or rerun final-output noise until both target r values pass 50 seeds.
A3c,target_noise_high_stat,Stage 36 target r=2/r=4 final-output noise rerun has 50-seed zero-failure support,PASS_TARGET_NOISE_50SEED,repro/stage36_target_noise_seeds50/aggregate.csv,optional stronger target final-output noise evidence,Fix or rerun Stage 36 target_noise before using refreshed target-noise statistical wording.
A3b,stage_noise_high_stat,Stage 36 r=2/r=4 stage-level noise has 10-seed zero-failure support,PASS_STAGE_NOISE_10SEED,repro/stage36_stage_noise_seeds10/aggregate.csv,optional stage-level statistical noise evidence,Fix or rerun Stage 36 stage_noise before using stage-by-stage noise wording.
A4,resources,Resource snapshot covers scalar and PVW r=1/2/4 key/time/RSS fields,PASS_SMOKE_RESOURCE,repro/stage27_final_evidence_package/resource_scope.csv,"resource smoke, not statistical resource campaign",Repeat resource matrix if final paper requires statistical resource tables.
A4b,resources_high_stat,Stage 36 resource matrix has 3-run scalar/PVW r=1/2/4 support,PASS_RESOURCE_3RUN,repro/stage36_resource_summary.csv,optional statistical resource evidence,Fix or rerun Stage 36 resource before using statistical resource wording.
A5,reproducibility,Final evidence package manifest paths exist and Stage 28 gate is logged,PASS_SCOPED,repro/stage27_final_evidence_package/manifest.csv; repro/run_log.csv,all final package manifest paths exist,Fix missing manifest paths or run-log entries before claiming reproducibility.
A5b,current_smoke,"Current commit scalar baseline, PVW target gate, and scalar ternary build smoke pass",PASS_CURRENT_SMOKE,repro/stage33_current_smoke/summary.csv,current commit smoke only; not a performance claim,Run bash scripts/run_stage33_current_smoke.sh before relying on current-commit smoke evidence.
A6,claim_boundary,"Novelty, non-binary support, and theorem-level 2025/686 citation claims remain explicitly blocked",PASS_SCOPED_BOUNDARY_REVIEWED,repro/stage27_final_evidence_package/claim_scope.csv; repro/stage103_related_work_novelty_review/summary.csv,broad novelty/non-binary/theorem claims remain blocked; related-work review supports only scoped systems wording,Keep rejected broad novelty wording out of paper claims unless new theorem-level evidence is added.
A7,generalization,Added binary parameters have r=2/r=4 performance and noise support,PASS_ADDED_PARAM_10RUN_20SEED,repro/stage36_added_params_runs10_seeds20/performance_stats.csv; repro/stage36_added_params_runs10_seeds20/noise_summary.csv,"added binary SET_4_5_2048 and SET_2_3_4096, r=2/r=4, 10-run performance and 20-seed noise",Keep non-binary and all-parameter claims blocked unless separate implementations and gates are added.
A8,theory_backend,MAT-AVX512 theoretical load/store optimality has hardware-counter support,PASS_COUNTER_ATTRIBUTION_EXTERNAL,repro/external_evidence_intake/summary.csv; repro/stage101_cb5_remote_native_perf/summary.csv,native/perf-enabled Stage 28 summary and Stage101 counter metrics are registered,Interpret hardware counters against Stage 22 timing and objdump evidence before claiming theoretical optimality.
A8b,external_evidence,Optional external full-text and native perf artifacts are registered when supplied,PASS_EXTERNAL_EVIDENCE_REVIEWED,repro/external_evidence_intake/summary.csv,"2025/686 full-text anchors reviewed, related-work novelty boundary scoped, and native perf/counter evidence registered; broad novelty/theory claims remain bounded",No missing external-evidence gate remains for CB5/CB6/CB7; keep scoped claim guardrails unless new evidence is added.
A9,overall,Original optimization goal status under current evidence,SCOPED_ENGINEERING_CHAIN_READY__EXTERNAL_REVIEWED_STRONGER_CLAIMS_SCOPED,repro/final_goal_completion_audit.csv; docs/final_goal_completion_audit.md,"scoped engineering acceleration evidence is complete and the former CB5/CB6/CB7 external blockers are resolved by native counter evidence, source-anchor review, and scoped novelty boundaries","Use scoped systems/engineering wording; do not upgrade to broad novelty, all-parameter, non-binary, or theoretical-optimality claims without new evidence."
