case,seed,field_prime,r,state_size,noise_vector,dense_bound,compact_bound,mismatches,status
structured_offlane_zero,0,257,2,3,5;2;7,625;507;564,625;507;564,0,PASS_TOY_NOISE_EQUIVALENCE
random_dense_negative,0,257,2,3,5;2;7,1192;761;1264,1192;327;1140,2,PASS_TOY_NOISE_COUNTEREXAMPLE
structured_offlane_zero,1,257,2,3,5;1;6,371;463;1066,371;463;1066,0,PASS_TOY_NOISE_EQUIVALENCE
random_dense_negative,1,257,2,3,5;1;6,600;184;756,600;76;633,2,PASS_TOY_NOISE_COUNTEREXAMPLE
structured_offlane_zero,2,257,2,3,7;3;6,886;596;564,886;596;564,0,PASS_TOY_NOISE_EQUIVALENCE
random_dense_negative,2,257,2,3,7;3;6,227;1259;1200,227;491;960,2,PASS_TOY_NOISE_COUNTEREXAMPLE
structured_offlane_zero,3,257,2,3,2;2;4,498;184;634,498;184;634,0,PASS_TOY_NOISE_EQUIVALENCE
random_dense_negative,3,257,2,3,2;2;4,610;440;136,610;232;94,2,PASS_TOY_NOISE_COUNTEREXAMPLE
structured_offlane_zero,4,257,2,3,4;5;6,689;329;394,689;329;394,0,PASS_TOY_NOISE_EQUIVALENCE
random_dense_negative,4,257,2,3,4;5;6,872;1314;691,872;708;156,2,PASS_TOY_NOISE_COUNTEREXAMPLE
structured_offlane_zero,5,257,2,3,4;6;6,1648;454;628,1648;454;628,0,PASS_TOY_NOISE_EQUIVALENCE
random_dense_negative,5,257,2,3,4;6;6,1110;1414;714,1110;1024;642,2,PASS_TOY_NOISE_COUNTEREXAMPLE
structured_offlane_zero,6,257,2,3,7;5;7,1731;1194;644,1731;1194;644,0,PASS_TOY_NOISE_EQUIVALENCE
random_dense_negative,6,257,2,3,7;5;7,2122;1660;593,2122;813;553,2,PASS_TOY_NOISE_COUNTEREXAMPLE
structured_offlane_zero,7,257,2,3,4;2;7,365;330;832,365;330;832,0,PASS_TOY_NOISE_EQUIVALENCE
random_dense_negative,7,257,2,3,4;2;7,760;1239;1310,760;462;1278,2,PASS_TOY_NOISE_COUNTEREXAMPLE
structured_offlane_zero,8,257,2,3,7;2;7,938;398;315,938;398;315,0,PASS_TOY_NOISE_EQUIVALENCE
random_dense_negative,8,257,2,3,7;2;7,695;1177;1204,695;582;1050,2,PASS_TOY_NOISE_COUNTEREXAMPLE
structured_offlane_zero,9,257,2,3,7;1;2,584;215;387,584;215;387,0,PASS_TOY_NOISE_EQUIVALENCE
random_dense_negative,9,257,2,3,7;1;2,557;255;706,557;225;688,2,PASS_TOY_NOISE_COUNTEREXAMPLE
structured_offlane_zero,10,257,2,3,1;7;7,667;700;307,667;700;307,0,PASS_TOY_NOISE_EQUIVALENCE
random_dense_negative,10,257,2,3,1;7;7,488;793;1206,488;639;345,2,PASS_TOY_NOISE_COUNTEREXAMPLE
structured_offlane_zero,11,257,2,3,7;1;6,768;515;833,768;515;833,0,PASS_TOY_NOISE_EQUIVALENCE
random_dense_negative,11,257,2,3,7;1;6,1015;634;422,1015;526;304,2,PASS_TOY_NOISE_COUNTEREXAMPLE
structured_offlane_zero,12,257,2,3,3;7;1,465;146;470,465;146;470,0,PASS_TOY_NOISE_EQUIVALENCE
random_dense_negative,12,257,2,3,3;7;1,1085;1042;973,1085;925;168,2,PASS_TOY_NOISE_COUNTEREXAMPLE
structured_offlane_zero,13,257,2,3,7;2;1,688;263;946,688;263;946,0,PASS_TOY_NOISE_EQUIVALENCE
random_dense_negative,13,257,2,3,7;2;1,397;760;549,397;672;433,2,PASS_TOY_NOISE_COUNTEREXAMPLE
structured_offlane_zero,14,257,2,3,2;7;6,996;708;818,996;708;818,0,PASS_TOY_NOISE_EQUIVALENCE
random_dense_negative,14,257,2,3,2;7;6,948;1411;1045,948;901;954,2,PASS_TOY_NOISE_COUNTEREXAMPLE
structured_offlane_zero,15,257,2,3,5;3;5,883;328;685,883;328;685,0,PASS_TOY_NOISE_EQUIVALENCE
random_dense_negative,15,257,2,3,5;3;5,1294;1023;1079,1294;763;950,2,PASS_TOY_NOISE_COUNTEREXAMPLE
