backend,r,N,T,Bg_bit,seed,lane_local_component_mismatches,lane_local_phase_mismatches,cross_body_negative_mismatches,max_component_gap,max_phase_gap,max_negative_gap,tolerance,status
spqlios,2,512,7,7,0,0,0,1024,1068,1068,18355581447927914460,131072,PASS_LANE_LOCAL_COMPACT_EP_AND_REJECTS_CROSS_BODY
spqlios,2,512,7,7,1,0,0,1024,1196,1196,18422021017524774084,131072,PASS_LANE_LOCAL_COMPACT_EP_AND_REJECTS_CROSS_BODY
spqlios,2,1024,7,7,0,0,0,2048,2064,2064,18398706910616672702,131072,PASS_LANE_LOCAL_COMPACT_EP_AND_REJECTS_CROSS_BODY
spqlios,2,1024,7,7,1,0,0,2048,2284,2284,18328825061032961136,131072,PASS_LANE_LOCAL_COMPACT_EP_AND_REJECTS_CROSS_BODY
spqlios,4,512,7,7,0,0,0,2048,1182,1128,18435328825213795876,131072,PASS_LANE_LOCAL_COMPACT_EP_AND_REJECTS_CROSS_BODY
spqlios,4,512,7,7,1,0,0,2048,1294,1026,18382022420825016916,131072,PASS_LANE_LOCAL_COMPACT_EP_AND_REJECTS_CROSS_BODY
spqlios,4,1024,7,7,0,0,0,4096,2452,2452,18332069718303074352,131072,PASS_LANE_LOCAL_COMPACT_EP_AND_REJECTS_CROSS_BODY
spqlios,4,1024,7,7,1,0,0,4096,2576,2576,18403287289459706564,131072,PASS_LANE_LOCAL_COMPACT_EP_AND_REJECTS_CROSS_BODY
spqlios,6,512,7,7,0,0,0,3072,1713,1713,18393178324805901210,131072,PASS_LANE_LOCAL_COMPACT_EP_AND_REJECTS_CROSS_BODY
spqlios,6,512,7,7,1,0,0,3072,1552,1552,18432605115559727665,131072,PASS_LANE_LOCAL_COMPACT_EP_AND_REJECTS_CROSS_BODY
spqlios,6,1024,7,7,0,0,0,6144,2604,2604,18425245346489215836,131072,PASS_LANE_LOCAL_COMPACT_EP_AND_REJECTS_CROSS_BODY
spqlios,6,1024,7,7,1,0,0,6144,2592,2256,18388516007918480690,131072,PASS_LANE_LOCAL_COMPACT_EP_AND_REJECTS_CROSS_BODY
