source_id,title,retrieval_status,route,route_url,http_status,bibkey,entry_type,title_match_score,final_url,error
FAB686_2025,Fast amortized bootstrapping with small keys and polynomial noise overhead,RETRIEVED_VERIFIED_BIBTEX,dblp_title_search,https://dblp.org/rec/conf/ccs/GuimaraesP25.bib,200,DBLP:conf/ccs/GuimaraesP25,inproceedings,1.000,https://dblp.org/rec/conf/ccs/GuimaraesP25.bib,score=1.000;title=Fast Amortized Bootstrapping with Small Keys and Polynomial Noise Overhead.
INCNTT25_696,Faster amortized bootstrapping using the incomplete NTT for free,RETRIEVED_VERIFIED_BIBTEX,dblp_title_search,https://dblp.org/rec/journals/tches/PaivaMHSY25.bib,200,DBLP:journals/tches/PaivaMHSY25,article,1.000,https://dblp.org/rec/journals/tches/PaivaMHSY25.bib,score=1.000;title=Faster amortized bootstrapping using the incomplete NTT for free.
SHAREMASK25_2112,Sharing the Mask: TFHE Bootstrapping on Packed Messages,RETRIEVED_VERIFIED_BIBTEX,dblp_secondary_direct,https://dblp.org/rec/journals/tches/BergeratBCOPT25.bib,200,DBLP:journals/tches/BergeratBCOPT25,article,1.000,https://dblp.org/rec/journals/tches/BergeratBCOPT25.bib,https://dblp.org/rec/journals/tches/BergeratBCOPT25
BATCHBOOT26,BatchBoot: Fast Batched Bootstrapping for TFHE scheme and Practical Applications,TODO_NO_VERIFIED_BIBTEX_ROUTE,DBLP_SEARCH_NO_STRONG_MATCH,https://www.usenix.org/conference/usenixsecurity26/presentation/li-zhihao,,,,,,no_hits
LW23A_B,Batch Bootstrapping I/II,TODO_COMPOSITE_SOURCE_SPLIT_REQUIRED,manual_split_required,https://dl.acm.org/doi/10.1007/978-3-031-30620-4_11 ; https://dl.acm.org/doi/10.1007/978-3-031-30620-4_12,,,,,,Stage230 source row combines Batch Bootstrapping I and II; split into two verified BibTeX entries before LaTeX.
BGH2012_565,Packed Ciphertexts in LWE-based Homomorphic Encryption,RETRIEVED_VERIFIED_BIBTEX,dblp_title_search,https://dblp.org/rec/conf/pkc/BrakerskiGH13.bib,200,DBLP:conf/pkc/BrakerskiGH13,inproceedings,1.000,https://dblp.org/rec/conf/pkc/BrakerskiGH13.bib,score=1.000;title=Packed Ciphertexts in LWE-Based Homomorphic Encryption.
CGGI2018_421,TFHE: Fast Fully Homomorphic Encryption over the Torus,RETRIEVED_VERIFIED_BIBTEX,dblp_title_search,https://dblp.org/rec/journals/joc/ChillottiGGI20.bib,200,DBLP:journals/joc/ChillottiGGI20,article,1.000,https://dblp.org/rec/journals/joc/ChillottiGGI20.bib,score=1.000;title=TFHE: Fast Fully Homomorphic Encryption Over the Torus.
MS2018_532,Ring Packing and Amortized FHEW Bootstrapping,RETRIEVED_VERIFIED_BIBTEX,dblp_title_search,https://dblp.org/rec/conf/icalp/MicciancoS18.bib,200,DBLP:conf/icalp/MicciancoS18,inproceedings,1.000,https://dblp.org/rec/conf/icalp/MicciancoS18.bib,score=1.000;title=Ring Packing and Amortized FHEW Bootstrapping.
GPVL2023_014,"Amortized Bootstrapping Revisited: Simpler, Asymptotically-faster, Implemented",RETRIEVED_VERIFIED_BIBTEX,dblp_secondary_direct,https://dblp.org/rec/conf/asiacrypt/GuimaraesPL23.bib,200,DBLP:conf/asiacrypt/GuimaraesPL23,inproceedings,1.000,https://dblp.org/rec/conf/asiacrypt/GuimaraesPL23.bib,https://dblp.org/rec/conf/asiacrypt/GuimaraesPL23
DKMS2024_112,Faster Amortized FHEW Bootstrapping Using Ring Automorphisms,RETRIEVED_VERIFIED_BIBTEX,dblp_title_search,https://dblp.org/rec/conf/pkc/MicheliKMS24.bib,200,DBLP:conf/pkc/MicheliKMS24,inproceedings,1.000,https://dblp.org/rec/conf/pkc/MicheliKMS24.bib,score=1.000;title=Faster Amortized FHEW Bootstrapping Using Ring Automorphisms.
LW2023_910,"Amortized Functional Bootstrapping in less than 7ms, with O(1) polynomial multiplications",RETRIEVED_VERIFIED_BIBTEX,dblp_secondary_direct,https://dblp.org/rec/conf/asiacrypt/LiuW23.bib,200,DBLP:conf/asiacrypt/LiuW23,inproceedings,0.846,https://dblp.org/rec/conf/asiacrypt/LiuW23.bib,https://dblp.org/rec/conf/asiacrypt/LiuW23
