probe,r,seed,evaluated_active_rows,dummy_rows,mismatches,skip_noise_units,dense_eval_noise_units,noise_ratio_dense_over_skip,status,interpretation
declared_equations_full_vs_skip,2,0,8,1,0,24.000000,25.000000,1.041666667,PASS_EQUIVALENCE,"Full dense-shape evaluation with semantic-zero dummies equals active-row skipping in phase, but may add dummy noise if rows are evaluated."
negative_random_dummy_semantics,2,0,8,1,24,24.000000,25.000000,1.041666667,PASS_COUNTEREXAMPLE,Random semantic dummy rows break the declared structured function.
negative_missing_active_equation,2,0,7,2,7,24.000000,21.000000,0.875000000,PASS_COUNTEREXAMPLE,Removing an active equation breaks the declared structured function.
declared_equations_full_vs_skip,2,1,8,1,0,24.000000,25.000000,1.041666667,PASS_EQUIVALENCE,"Full dense-shape evaluation with semantic-zero dummies equals active-row skipping in phase, but may add dummy noise if rows are evaluated."
negative_random_dummy_semantics,2,1,8,1,24,24.000000,25.000000,1.041666667,PASS_COUNTEREXAMPLE,Random semantic dummy rows break the declared structured function.
negative_missing_active_equation,2,1,7,2,8,24.000000,21.000000,0.875000000,PASS_COUNTEREXAMPLE,Removing an active equation breaks the declared structured function.
declared_equations_full_vs_skip,2,2,8,1,0,24.000000,25.000000,1.041666667,PASS_EQUIVALENCE,"Full dense-shape evaluation with semantic-zero dummies equals active-row skipping in phase, but may add dummy noise if rows are evaluated."
negative_random_dummy_semantics,2,2,8,1,24,24.000000,25.000000,1.041666667,PASS_COUNTEREXAMPLE,Random semantic dummy rows break the declared structured function.
negative_missing_active_equation,2,2,7,2,8,24.000000,21.000000,0.875000000,PASS_COUNTEREXAMPLE,Removing an active equation breaks the declared structured function.
declared_equations_full_vs_skip,2,3,8,1,0,24.000000,25.000000,1.041666667,PASS_EQUIVALENCE,"Full dense-shape evaluation with semantic-zero dummies equals active-row skipping in phase, but may add dummy noise if rows are evaluated."
negative_random_dummy_semantics,2,3,8,1,24,24.000000,25.000000,1.041666667,PASS_COUNTEREXAMPLE,Random semantic dummy rows break the declared structured function.
negative_missing_active_equation,2,3,7,2,8,24.000000,21.000000,0.875000000,PASS_COUNTEREXAMPLE,Removing an active equation breaks the declared structured function.
declared_equations_full_vs_skip,2,4,8,1,0,24.000000,25.000000,1.041666667,PASS_EQUIVALENCE,"Full dense-shape evaluation with semantic-zero dummies equals active-row skipping in phase, but may add dummy noise if rows are evaluated."
