seed,status,points,pvw_failures,scalar_failures,pair_failures,pvw_log2_sigma_torus,scalar_log2_sigma_torus,pair_log2_sigma_torus,pvw_minus_scalar_log2,max_allowed_log2_gap
6862035,Pass,8192,0,0,0,-8.465,-8.255,-7.804,-0.210,4.000
6862036,Pass,8192,0,0,0,-7.972,-8.316,-7.516,0.344,4.000
6862037,Pass,8192,0,0,0,-8.206,-8.015,-7.525,-0.191,4.000
6862038,Pass,8192,0,0,0,-8.400,-8.183,-7.863,-0.217,4.000
6862039,Pass,8192,0,0,0,-8.284,-8.262,-7.789,-0.022,4.000
6862040,Pass,8192,0,0,0,-8.289,-8.194,-7.710,-0.095,4.000
6862041,Pass,8192,0,0,0,-8.185,-8.118,-7.703,-0.067,4.000
6862042,Pass,8192,0,0,0,-8.017,-8.027,-7.555,0.010,4.000
6862043,Pass,8192,0,0,0,-8.476,-8.095,-7.724,-0.381,4.000
6862044,Pass,8192,0,0,0,-8.261,-8.216,-7.916,-0.044,4.000
6862045,Pass,8192,0,0,0,-8.392,-8.227,-7.775,-0.165,4.000
6862046,Pass,8192,0,0,0,-8.157,-8.245,-7.647,0.088,4.000
6862047,Pass,8192,0,0,0,-8.264,-8.065,-7.583,-0.199,4.000
6862048,Pass,8192,0,0,0,-8.276,-8.152,-7.695,-0.125,4.000
6862049,Pass,8192,0,0,0,-8.121,-7.973,-7.446,-0.148,4.000
6862050,Pass,8192,0,0,0,-8.005,-8.200,-7.431,0.195,4.000
6862051,Pass,8192,0,0,0,-7.940,-8.052,-7.457,0.112,4.000
6862052,Pass,8192,0,0,0,-7.576,-8.053,-7.145,0.478,4.000
6862053,Pass,8192,0,0,0,-8.262,-8.069,-7.653,-0.193,4.000
6862054,Pass,8192,0,0,0,-8.193,-8.213,-7.690,0.020,4.000
6862055,Pass,8192,0,0,0,-7.873,-8.210,-7.551,0.337,4.000
6862056,Pass,8192,0,0,0,-7.609,-8.245,-7.351,0.636,4.000
6862057,Pass,8192,0,0,0,-8.015,-8.199,-7.605,0.184,4.000
6862058,Pass,8192,0,0,0,-8.274,-8.177,-7.644,-0.097,4.000
6862059,Pass,8192,0,0,0,-8.050,-7.922,-7.593,-0.128,4.000
6862060,Pass,8192,0,0,0,-8.319,-8.307,-7.849,-0.011,4.000
6862061,Pass,8192,0,0,0,-8.148,-8.088,-7.564,-0.059,4.000
6862062,Pass,8192,0,0,0,-8.162,-8.343,-7.663,0.181,4.000
6862063,Pass,8192,0,0,0,-8.286,-8.364,-7.793,0.079,4.000
6862064,Pass,8192,0,0,0,-8.241,-8.032,-7.670,-0.210,4.000
6862065,Pass,8192,0,0,0,-8.373,-8.220,-7.802,-0.153,4.000
6862066,Pass,8192,0,0,0,-8.225,-8.346,-7.905,0.121,4.000
6862067,Pass,8192,0,0,0,-8.387,-8.295,-7.812,-0.093,4.000
6862068,Pass,8192,0,0,0,-8.063,-8.193,-7.639,0.130,4.000
6862069,Pass,8192,0,0,0,-7.905,-8.179,-7.564,0.274,4.000
6862070,Pass,8192,0,0,0,-8.182,-8.269,-7.673,0.087,4.000
6862071,Pass,8192,0,0,0,-8.411,-8.142,-7.734,-0.270,4.000
6862072,Pass,8192,0,0,0,-8.028,-8.178,-7.504,0.150,4.000
6862073,Pass,8192,0,0,0,-8.290,-8.190,-7.718,-0.100,4.000
6862074,Pass,8192,0,0,0,-7.884,-8.098,-7.599,0.214,4.000
