source_id,citation_key,title,authors,year,venue_or_status,verified_url,axis,relation_to_pvw_mat_sab,similarity,difference,novelty_risk,verification_status
S333-001,guimaraes_pereira_2025_686,Fast amortized bootstrapping with small keys and polynomial noise overhead,Antonio Guimaraes; Hilder V. L. Pereira,2025,IACR ePrint 2025/686; ACM CCS 2025 DOI page found,https://eprint.iacr.org/2025/686 ; https://github.com/antoniocgj/Fast-Amortized-Bootstrapping ; https://dl.acm.org/doi/10.1145/3719027.3765181,target_686_sab,baseline target SAB protocol; our result is an r-body/PVW/MAT implementation and scheduling path for this target.,same sparse amortized bootstrapping target and complete bootstrapping metric family.,does not by itself claim PVW/MAT r-body shared-mask implementation speedup measured here.,baseline_not_novelty_threat,METADATA_URL_RECORDED_REPOSITORY_ACM
S333-002,paiva_et_al_2025_696,Faster amortized bootstrapping using the incomplete NTT for free,Thales B. Paiva; Gabrielle De Micheli; Syed Mahbub Hafiz; Marcos A. Simplicio Jr.; Bahattin Yildiz,2025,IACR ePrint 2025/696,https://eprint.iacr.org/2025/696,recent_amortized_bootstrapping,later amortized bootstrapping acceleration line; improves Guimaraes et al. ASIACRYPT 2023 via incomplete NTT.,amortized FHEW/TFHE bootstrapping throughput objective.,"NTT algorithmic strategy, not PVW/MAT r-body external-product adaptation of 2025/686.",medium,METADATA_URL_RECORDED_EPRINT
S333-003,guimaraes_pereira_vanleeuwen_2023_014,"Amortized Bootstrapping Revisited: Simpler, Asymptotically-faster, Implemented",Antonio Guimaraes; Hilder V. L. Pereira; Barry van Leeuwen,2023,IACR ePrint 2023/014; ASIACRYPT 2023 metadata found,https://eprint.iacr.org/2023/014,amortized_bootstrapping_foundation,prior amortized bootstrapping family and key comparison target for later works.,amortized bootstrapping over multiple messages.,not the 2025/686 sparse small-key target and not this MAT/PVW lane implementation.,medium,METADATA_URL_RECORDED_EPRINT
S333-004,micciancio_sorrell_2018_ring_packing,Ring Packing and Amortized FHEW Bootstrapping,Daniele Micciancio; Jessica Sorrell,2018,ICALP 2018; DOI 10.4230/LIPIcs.ICALP.2018.100,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2018.100,multi_message_amortized_bootstrapping,seminal simultaneous-refresh amortization over many FHEW ciphertexts.,amortizes bootstrapping over multiple bits/messages.,ring-packing refresh procedure differs from 2025/686 SAB and our PVW/MAT shared-body path.,high_for_broad_multi_message_claims,METADATA_URL_RECORDED_DROPS_DOI
S333-005,liu_wang_2023_7ms,"Amortized Functional Bootstrapping in Less than 7 ms, with O~(1) Polynomial Multiplications",Zeyu Liu; Yunhao Wang,2023,ASIACRYPT 2023; DOI 10.1007/978-981-99-8736-8_4,https://link.springer.com/chapter/10.1007/978-981-99-8736-8_4,amortized_functional_bootstrapping,strong amortized functional bootstrapping baseline and terminology source.,amortized functional/bootstrap throughput claim style.,different algorithmic construction; not 2025/686 sparse SAB PVW/MAT external product.,medium_high_for_amortized_functional_claims,METADATA_URL_RECORDED_SPRINGER_DOI
S333-006,li_et_al_2025_022,Leveled Functional Bootstrapping via External Product Tree,Zhihao Li; Xuan Shen; Xianhui Lu; Ruida Wang; Yuan Zhao,2025,IACR ePrint 2025/022,https://eprint.iacr.org/2025/022,external_product_algorithm,external-product tree is adjacent to external-product-count optimization.,external product as primary bootstrapping cost object.,"leveled functional bootstrapping tree, not r-body MAT/SAB complete bootstrapping path.",medium,METADATA_URL_RECORDED_EPRINT
S333-007,chillotti_et_al_2020_tfhe,TFHE: Fast Fully Homomorphic Encryption over the Torus,Ilaria Chillotti; Nicolas Gama; Mariya Georgieva; Malika Izabachene,2020,Journal of Cryptology; DOI 10.1007/s00145-019-09319-x; ePrint 2018/421,https://eprint.iacr.org/2018/421 ; https://dl.acm.org/doi/10.1007/s00145-019-09319-x,tfhe_external_product_foundation,defines core TFHE/TRLWE/TRGSW/external-product context used by implementation.,external product and bootstrapping foundations.,not SAB or MAT/PVW multi-body amortization.,foundation_not_threat,METADATA_URL_RECORDED_EPRINT_DOI
S333-008,chillotti_gama_georgieva_izabachene_2017_430,Faster Packed Homomorphic Operations and Efficient Circuit Bootstrapping for TFHE,Ilaria Chillotti; Nicolas Gama; Mariya Georgieva; Malika Izabachene,2017,ASIACRYPT 2017; ePrint 2017/430,https://eprint.iacr.org/2017/430 ; https://www.tfhe.com/about,packed_tfhe_operations,prior packed TFHE operations and circuit bootstrapping optimization line.,packed data and TFHE bootstrapping.,not the same sparse SAB full-flow r-body direct-DFT implementation.,high_for_generic_packed_tfhe_claims,METADATA_URL_RECORDED_EPRINT_PROJECT
S333-009,guimaraes_borin_aranha_2024_mosfhet,MOSFHET: Optimized Software for FHE over the Torus,Antonio Guimaraes; Edson Borin; Diego F. Aranha,2024,Journal of Cryptographic Engineering 14(3):577-593; DOI 10.1007/s13389-024-00359-z,https://eprint.iacr.org/2022/515 ; https://github.com/antoniocgj/MOSFHET ; https://pure.au.dk/portal/en/publications/mosfhet-optimized-software-for-fhe-over-the-torus-2/,implementation_backend,implementation baseline and AVX/TFHE optimization source; local repo reuses MOSFHET code lineage.,same implementation ecosystem and backend optimization concerns.,not a 2025/686 SAB r-body algorithmic claim by itself.,high_for_backend_or_avx_claims,METADATA_URL_RECORDED_EPRINT_DOI_GITHUB
S333-010,bergerat_et_al_2025_sharing_mask,Sharing the Mask: TFHE Bootstrapping on Packed Messages,Loris Bergerat; Charlotte Bonte; Benjamin R. Curtis; Jean-Baptiste Orfila; Pascal Paillier; Samuel Tap,2025,IACR TCHES 2025(4):925-971; ePrint 2025/2112 metadata found,https://dblp.org/rec/journals/tches/BergeratBCOPT25 ; https://askcryp.to/tag/2025-2112,shared_mask_packed_messages,directly adjacent common-mask packed-message bootstrapping; must be audited before novelty wording around shared masks/r-body lanes.,shared-mask/common-mask TFHE bootstrapping on packed messages.,not yet audited against 2025/686 SAB full-flow direct PVW/MAT path and T_bootstrap/r experiment.,critical_for_shared_mask_novelty,METADATA_URL_RECORDED_DBLP_FULLTEXT_PENDING
