source_id,work,role,url,http_status,content_type,sample_bytes,effective_url,status,notes
FAB686_AUTHOR_PUBLICATION,Fast amortized bootstrapping with small keys and polynomial noise overhead,base_metadata,https://antonioguimaraes.org/publication/guimaraes-fast-2025/,200,text/html; charset=utf-8,4096,https://antonioguimaraes.org/publication/guimaraes-fast-2025/,METADATA_OR_HTML_ONLY,Base paper author metadata page.
FAB686_GITHUB,Fast-Amortized-Bootstrapping repository,base_code_metadata,https://github.com/antoniocgj/Fast-Amortized-Bootstrapping,200,text/html; charset=utf-8,4096,https://github.com/antoniocgj/Fast-Amortized-Bootstrapping,METADATA_OR_HTML_ONLY,Base implementation repository and parameter/backend context.
FAB686_EPRINT_PDF,IACR ePrint 2025/686,base_fulltext_candidate,https://eprint.iacr.org/2025/686.pdf,,,0,,BLOCKED_403,Base-paper full-text candidate; required for theorem-level citations. fetch_error=HTTP Error 403: Forbidden
FAB686_ACM_PDF,ACM DOI PDF for 2025/686,base_fulltext_candidate,https://dl.acm.org/doi/pdf/10.1145/3719027.3765181,,,0,,BLOCKED_403,Publisher full-text candidate; required for theorem-level citations. fetch_error=HTTP Error 403: Forbidden
CM2112_ASKCRYPTO,Sharing the Mask: TFHE Bootstrapping on Packed Messages,shared_mask_prior_art_metadata,https://askcryp.to/t/resource-topic-2025-2112-sharing-the-mask-tfhe-bootstrapping-on-packed-messages/25443,200,text/html; charset=utf-8,4096,https://askcryp.to/t/resource-topic-2025-2112-sharing-the-mask-tfhe-bootstrapping-on-packed-messages/25443,METADATA_OR_HTML_ONLY,Public metadata/topic page for common-mask multi-body TFHE work.
CM2112_DBLP,Sharing the Mask bibliographic record,shared_mask_prior_art_metadata,https://dblp.org/rec/journals/iacr/BergeratBCOPT25.html,200,text/html; charset=utf-8,4096,https://dblp.org/rec/journals/iacr/BergeratBCOPT25.html,METADATA_OR_HTML_ONLY,Bibliographic metadata for TCHES/ePrint source identity.
CM2112_EPRINT_PDF,Sharing the Mask ePrint PDF,shared_mask_prior_art_fulltext_candidate,https://eprint.iacr.org/2025/2112.pdf,,,0,,BLOCKED_403,Full-text candidate for prior-art manual review. fetch_error=HTTP Error 403: Forbidden
INTT696_USP_PDF,Faster amortized bootstrapping using the incomplete NTT for free,adjacent_acceleration_fulltext,https://repositorio.usp.br/directbitstream/69b0ba87-a92a-40e3-94ed-ecdb8ee395ec/Faster_amortized_bootstrapping_using_the_incomplete_NTT_for_free.pdf,200,application/pdf,4096,https://repositorio.usp.br/directbitstream/69b0ba87-a92a-40e3-94ed-ecdb8ee395ec/Faster_amortized_bootstrapping_using_the_incomplete_NTT_for_free.pdf,PDF_ACCESSIBLE,Public PDF for adjacent incomplete-NTT amortized bootstrapping.
INTT696_GITHUB,incomplete_ntt_amortized_bt repository,adjacent_acceleration_code,https://github.com/thalespaiva/incomplete_ntt_amortized_bt,200,text/html; charset=utf-8,4096,https://github.com/thalespaiva/incomplete_ntt_amortized_bt,METADATA_OR_HTML_ONLY,Code/reproducibility context for adjacent incomplete-NTT work.
GPVL23_COSIC_PDF,Amortized Bootstrapping Revisited,amortized_bs_lineage_fulltext,https://www.esat.kuleuven.be/cosic/publications/article-3610.pdf,200,application/pdf,4096,https://cosicdatabase.esat.kuleuven.be/backend/publications/files/journal/3610,PDF_ACCESSIBLE,Public PDF for earlier amortized bootstrapping lineage.
BOOT_SURVEY_2026_RG,Bootstrapping in FHEW-like cryptosystems: A survey,secondary_survey_candidate,https://www.researchgate.net/publication/390905714_Bootstrapping_in_FHEW-like_cryptosystems_A_survey,,,0,,BLOCKED_403,Secondary survey context only; not primary novelty evidence. fetch_error=HTTP Error 403: Forbidden
