component,component_speedup,share_of_pvw_full,full_sab_speedup_bound,interpretation
mat_ep_subdecomp,1.050000000,0.603899465,1.029608575,"Amdahl bound relative to current exact PVW/MAT-SAB, not scalar baseline."
mat_ep_subdecomp,1.100000000,0.603899465,1.058089037,"Amdahl bound relative to current exact PVW/MAT-SAB, not scalar baseline."
mat_ep_subdecomp,1.250000000,0.603899465,1.137371623,"Amdahl bound relative to current exact PVW/MAT-SAB, not scalar baseline."
mat_ep_subdecomp,1.500000000,0.603899465,1.252034277,"Amdahl bound relative to current exact PVW/MAT-SAB, not scalar baseline."
mat_ep_subdecomp,2.000000000,0.603899465,1.432561588,"Amdahl bound relative to current exact PVW/MAT-SAB, not scalar baseline."
from_dft_materialize,1.050000000,0.321561912,1.015550590,"Amdahl bound relative to current exact PVW/MAT-SAB, not scalar baseline."
from_dft_materialize,1.100000000,0.321561912,1.030113197,"Amdahl bound relative to current exact PVW/MAT-SAB, not scalar baseline."
from_dft_materialize,1.250000000,0.321561912,1.068732749,"Amdahl bound relative to current exact PVW/MAT-SAB, not scalar baseline."
from_dft_materialize,1.500000000,0.321561912,1.120055757,"Amdahl bound relative to current exact PVW/MAT-SAB, not scalar baseline."
from_dft_materialize,2.000000000,0.321561912,1.191584017,"Amdahl bound relative to current exact PVW/MAT-SAB, not scalar baseline."
split_hot_components_total,1.050000000,0.925461377,1.046101253,"Amdahl bound relative to current exact PVW/MAT-SAB, not scalar baseline."
split_hot_components_total,1.100000000,0.925461377,1.091861415,"Amdahl bound relative to current exact PVW/MAT-SAB, not scalar baseline."
split_hot_components_total,1.250000000,0.925461377,1.227132803,"Amdahl bound relative to current exact PVW/MAT-SAB, not scalar baseline."
split_hot_components_total,1.500000000,0.925461377,1.446104674,"Amdahl bound relative to current exact PVW/MAT-SAB, not scalar baseline."
split_hot_components_total,2.000000000,0.925461377,1.861263948,"Amdahl bound relative to current exact PVW/MAT-SAB, not scalar baseline."
residual_setup_extract_ks_profile_gap,1.050000000,0.074538623,1.003562102,"Amdahl bound relative to current exact PVW/MAT-SAB, not scalar baseline."
residual_setup_extract_ks_profile_gap,1.100000000,0.074538623,1.006822469,"Amdahl bound relative to current exact PVW/MAT-SAB, not scalar baseline."
residual_setup_extract_ks_profile_gap,1.250000000,0.074538623,1.015133328,"Amdahl bound relative to current exact PVW/MAT-SAB, not scalar baseline."
residual_setup_extract_ks_profile_gap,1.500000000,0.074538623,1.025479271,"Amdahl bound relative to current exact PVW/MAT-SAB, not scalar baseline."
residual_setup_extract_ks_profile_gap,2.000000000,0.074538623,1.038712084,"Amdahl bound relative to current exact PVW/MAT-SAB, not scalar baseline."
