id,work,year_or_id,source_url,relevance,novelty_risk,current_claim_action
FAB686,"Fast amortized bootstrapping with small keys and polynomial noise overhead",2025/686,https://github.com/antoniocgj/Fast-Amortized-Bootstrapping,"Base sparse amortized bootstrapping algorithm and code lineage; README lists binary/ternary/arbitrary parameter families and notes AVX512 performance context.","Very high: this project optimizes/adapts 2025/686 and cannot claim the SAB algorithm itself.","Frame as PVW/MAT engineering integration and schedule/kernel optimization for 2025/686, not as original SAB."
CM2112,"Sharing the Mask: TFHE bootstrapping on Packed Messages",2025/2112,https://askcryp.to/t/resource-topic-2025-2112-sharing-the-mask-tfhe-bootstrapping-on-packed-messages/25443,"Common-mask ciphertexts use a shared mask with multiple bodies and support TFHE-style operations, distinct LUTs, and amortization.","High: overlaps strongly with the shared-mask/multiple-body concept used by PVW/MAT lanes.","Do not claim invention of shared-mask batching; distinguish only the 2025/686 SAB-specific integration and measured implementation path if defensible."
INTT696,"Faster amortized bootstrapping using the incomplete NTT for free",2025/696,https://askcryp.to/t/resource-topic-2025-696-faster-amortized-bootstrapping-using-the-incomplete-ntt-for-free/24002,"Adjacent amortized bootstrapping acceleration using incomplete NTT; reports a separate algorithmic strategy and speedup over Guimaraes et al. ASIACRYPT 2023.","Medium: different technique, but relevant benchmark/positioning for amortized bootstrapping speedup claims.","Cite as adjacent amortized-BS acceleration; compare scope and avoid claiming state-of-the-art without direct benchmark."
TFHEEXT,"TFHE external product and GGSW/GLWE background",TFHE/Zama,https://www.zama.org/post/tfhe-deep-dive-part-3,"Explains GGSW-GLWE external product as decomposition inner product and discusses functional key switching.","Medium: external product is established background, not novel.","Treat MAT external product as an implementation/batching adaptation unless a new algebraic property is proven."
TFHEBASE,"TFHE scheme background",TFHE/CGGI,https://www.tfhe.com/about,"Points to TFHE/CGGI bootstrapping lineage and current TFHE implementations.","Low to medium: broad background, not directly the PVW-SAB contribution.","Use only as background for TFHE-style bootstrapping and external-product context."
GSWSEC,"GSW/LWE security background",lecture,https://www.ccs.neu.edu/home/wichs/class/crypto-fall17/lecture23.pdf,"Summarizes LWE and GSW security foundations.","Low for novelty; high for avoiding security overclaim.","Do not claim new security; state that current work preserves tested ciphertext semantics under existing assumptions."
LOCAL,"This PVW/MAT-SAB implementation evidence",Stages20-26,local:"docs/stage20_active_buffer_log.md;docs/stage22_mat_avx512_limit_audit_log.md;docs/stage25_correctness_noise_resource_log.md;docs/stage26_parameter_branch_log.md","Complete-SAB throughput evidence, final-output noise/resource evidence, and binary parameter smoke for the current implementation.","Engineering novelty depends on differentiating SAB-specific integration from known common-mask batching.","Current safe claim: scoped engineering optimization for binary 2025/686 SAB under tested backends and parameters."
FAB686_AUTHOR,"Fast amortized bootstrapping with small keys and polynomial noise overhead",2025/686,https://antonioguimaraes.org/tag/amortized-bootstrapping/,"Author page metadata and abstract-level description for the base FAB paper and code link.","High: base algorithm is not local novelty.","Use for base-paper identity and abstract-level positioning only until full text is available."
CM2112_FULLTEXT,"Sharing the Mask: TFHE Bootstrapping on Packed Messages",2025/2112,https://www.researchgate.net/publication/395320098_Sharing_the_Mask_TFHE_Bootstrapping_on_Packed_Messages,"Public full-text source for common-mask ciphertexts, shared mask, multiple bodies, distinct LUTs, and CM bootstrapping.","Very high: directly threatens any shared-mask/multi-body novelty claim.","Cite as prior-art risk; distinguish only SAB-specific integration and measured implementation evidence."
CM2112_DBLP,"Sharing the Mask DBLP/TCHES metadata",TCHES2025,https://dblp.org/rec/journals/iacr/DucasT25.html,"Bibliographic record linking the work to TCHES 2025(4), pages 925-971 and ePrint 2025/2112.","High bibliographic support for the prior-art row.","Use for citation identity after full-text claim support is checked."
INTT696_EPRINT,"Faster amortized bootstrapping using the incomplete NTT for free",2025/696,https://eprint.iacr.org/2025/696.pdf,"Full ePrint PDF for an adjacent incomplete-NTT amortized bootstrapping acceleration path.","Medium: adjacent speedup technique but not PVW/MAT shared-mask SAB integration.","Cite as adjacent amortized-bootstrapping acceleration and benchmark context."
GPVL23,"Amortized Bootstrapping Revisited",ASIACRYPT2023,https://www.esat.kuleuven.be/cosic/wp-content/uploads/2023/12/2023-asiacrypt-GPVL.pdf,"Earlier amortized bootstrapping lineage and polynomial-multiplication bottleneck context.","Medium background risk for amortized-BS claims, low risk for PVW/MAT-SAB integration.","Use as lineage/background; do not claim the amortized-BS setting is new."
BOOT_SURVEY_2026,"Bootstrapping in FHEW-like cryptosystems: A survey",2026,https://www.researchgate.net/publication/390905714_Bootstrapping_in_FHEW-like_cryptosystems_A_survey,"Secondary survey-style context for FHEW-like bootstrapping optimization work.","Low direct novelty risk; useful for literature orientation only.","Use as secondary context, not as primary evidence for the local claim."
