seed,status,points,pvw_failures,scalar_failures,pair_failures,pvw_log2_sigma_torus,scalar_log2_sigma_torus,pair_log2_sigma_torus,pvw_minus_scalar_log2,max_allowed_log2_gap
6862025,Pass,4096,0,0,0,-7.721,-8.328,-7.311,0.608,4.000
6862026,Pass,4096,0,0,0,-8.027,-8.280,-7.590,0.253,4.000
6862027,Pass,4096,0,0,0,-8.314,-8.333,-7.759,0.019,4.000
6862028,Pass,4096,0,0,0,-8.280,-8.142,-7.682,-0.138,4.000
6862029,Pass,4096,0,0,0,-8.061,-8.209,-7.549,0.148,4.000
6862030,Pass,4096,0,0,0,-7.694,-8.329,-7.400,0.636,4.000
6862031,Pass,4096,0,0,0,-8.163,-8.118,-7.544,-0.045,4.000
6862032,Pass,4096,0,0,0,-8.097,-8.204,-7.822,0.107,4.000
6862033,Pass,4096,0,0,0,-7.631,-8.243,-7.355,0.612,4.000
6862034,Pass,4096,0,0,0,-8.278,-8.230,-7.865,-0.048,4.000
