seed,status,points,pvw_failures,scalar_failures,pair_failures,pvw_log2_sigma_torus,scalar_log2_sigma_torus,pair_log2_sigma_torus,pvw_minus_scalar_log2,max_allowed_log2_gap
6862025,Pass,8192,0,0,0,-8.411,-7.870,-7.530,-0.541,4.000
6862026,Pass,8192,0,0,0,-8.332,-8.225,-7.806,-0.107,4.000
6862027,Pass,8192,0,0,0,-8.423,-8.033,-7.744,-0.389,4.000
6862028,Pass,8192,0,0,0,-8.383,-7.867,-7.488,-0.516,4.000
6862029,Pass,8192,0,0,0,-8.267,-8.175,-7.761,-0.092,4.000
6862030,Pass,8192,0,0,0,-7.831,-8.342,-7.503,0.510,4.000
6862031,Pass,8192,0,0,0,-8.086,-8.277,-7.747,0.192,4.000
6862032,Pass,8192,0,0,0,-8.463,-7.980,-7.659,-0.483,4.000
6862033,Pass,8192,0,0,0,-8.371,-8.170,-7.778,-0.202,4.000
6862034,Pass,8192,0,0,0,-8.465,-8.067,-7.713,-0.398,4.000
