requirement_id,requirement,status,evidence,proof_scope,residual_limit
R1,Preserve scalar/default SAB baseline while adding explicit PVW/MAT-SAB paths.,PROVEN_SCOPED_COMPLETE,repro/stage97_source_delta_guard/summary.csv,"Source-delta, symbol, flag, and smoke-evidence guards preserve scalar/default separation.",Rerun scalar smoke if source/backend/default flags change.
R2,Implement and verify Stage20 active-buffer/copyback fusion.,PROVEN_SCOPED_COMPLETE,repro/stage20_active_buffer_summary.csv; docs/stage20_active_buffer_log.md,Profile count gate records copyback 40 -> 0 for r=2/r=4 and full-SAB three-run speedup_min > 1.,"Active-buffer remains explicit/gated, not a default-path proof by itself."
R3,Demonstrate complete-SAB throughput improvement over repeated scalar under same backend.,PROVEN_SCOPED_COMPLETE,repro/stage36_target_perf_summary.csv,Target binary SET_2_3_2048 r=2/r=4 have 10-run complete-SAB positive CI95 lower bounds.,"Does not generalize to all parameters, non-binary branches, or default enablement."
R4,Verify correctness/noise for promoted target complete-SAB path.,PROVEN_SCOPED_COMPLETE,repro/stage36_target_noise_seeds50/aggregate.csv,Target r=2/r=4 50-seed final-output noise has zero PVW/scalar/pair failures.,Additional branches still need separate gates.
R5,Record resource/key/keygen overhead for scalar and PVW comparison.,PROVEN_SCOPED_COMPLETE,repro/stage36_resource_summary.csv,Scalar/PVW r=1/2/4 3-run resource matrix is present and passing.,Use reported overheads with throughput claims; do not omit key/memory costs.
R6,Resolve native perf/counter attribution blocker where claimed.,PROVEN_SCOPED_COMPLETE,repro/stage101_cb5_remote_native_perf/summary.csv,Native Linux perf evidence records complete-SAB correctness plus retired load/store and AVX512 FP counters.,Counter evidence is attribution-only; theoretical optimality still requires model/assembly proof.
R7,Resolve 2025/686 source-anchor review for scoped protocol/citation claims.,PROVEN_SCOPED_COMPLETE,repro/stage102_686_source_anchor_review/summary.csv,All Stage38 checklist rows have reviewed 2025/686 anchors and claim limits.,Do not use 2025/686 anchors as proof that the original paper proposed the local PVW/MAT path.
R8,Resolve related-work/novelty review without overclaiming.,PROVEN_SCOPED_COMPLETE,repro/stage103_related_work_novelty_review/summary.csv,Real-source novelty matrix allows scoped systems wording and rejects broad shared-mask/batch/asymptotic novelty.,"Broad novelty, all-parameter, non-binary, and new theorem claims remain blocked."
R9,Assemble current post-external final scoped package.,PROVEN_SCOPED_COMPLETE,repro/stage104_post_external_final_package/summary.csv,Stage104 bridges Stage91 performance/noise/resource evidence with Stage101-103 external-review evidence.,Stage104 does not rerun heavy benchmarks and does not upgrade claim scope.
R10,"Maintain reproducible, auditable evidence chain.",PROVEN_SCOPED_COMPLETE,repro/stage42_closure_verify/summary.csv; repro/final_goal_completion_audit.csv; repro/run_log.csv; repro/artifact_manifest.md; repro/reproduction_checklist.md,Stage42 verifier passes from a clean input state and final audit records scoped-reviewed A9 status.,Any new source/backend/claim-scope change must regenerate the pack.
