param,r,seed,status,points,pvw_failures,scalar_failures,pair_failures,pvw_log2_sigma_torus,scalar_log2_sigma_torus,pvw_minus_scalar_log2,source_log
SET_2_3_4096,2,6863025,Pass,8192,0,0,0,-7.703,-7.688,-0.015,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863025.log
SET_2_3_4096,2,6863026,Pass,8192,0,0,0,-7.878,-7.745,-0.133,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863026.log
SET_2_3_4096,2,6863027,Pass,8192,0,0,0,-7.826,-7.660,-0.166,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863027.log
SET_2_3_4096,2,6863028,Pass,8192,0,0,0,-7.834,-7.555,-0.279,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863028.log
SET_2_3_4096,2,6863029,Pass,8192,0,0,0,-7.752,-7.447,-0.305,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863029.log
SET_2_3_4096,2,6863030,Pass,8192,0,0,0,-7.620,-7.584,-0.037,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863030.log
SET_2_3_4096,2,6863031,Pass,8192,0,0,0,-7.332,-7.886,0.554,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863031.log
SET_2_3_4096,2,6863032,Pass,8192,0,0,0,-7.696,-7.884,0.188,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863032.log
SET_2_3_4096,2,6863033,Pass,8192,0,0,0,-7.212,-7.472,0.260,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863033.log
SET_2_3_4096,2,6863034,Pass,8192,0,0,0,-8.017,-7.791,-0.226,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863034.log
SET_2_3_4096,2,6863035,Pass,8192,0,0,0,-7.196,-7.418,0.223,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863035.log
SET_2_3_4096,2,6863036,Pass,8192,0,0,0,-7.499,-7.487,-0.013,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863036.log
SET_2_3_4096,2,6863037,Pass,8192,0,0,0,-8.006,-7.896,-0.110,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863037.log
SET_2_3_4096,2,6863038,Pass,8192,0,0,0,-7.807,-7.416,-0.391,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863038.log
SET_2_3_4096,2,6863039,Pass,8192,0,0,0,-7.748,-7.612,-0.136,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863039.log
SET_2_3_4096,2,6863040,Pass,8192,0,0,0,-7.945,-7.412,-0.533,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863040.log
SET_2_3_4096,2,6863041,Pass,8192,0,0,0,-7.102,-7.771,0.669,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863041.log
SET_2_3_4096,2,6863042,Pass,8192,0,0,0,-7.934,-7.502,-0.432,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863042.log
SET_2_3_4096,2,6863043,Pass,8192,0,0,0,-7.801,-7.562,-0.239,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863043.log
SET_2_3_4096,2,6863044,Pass,8192,0,0,0,-7.679,-7.916,0.236,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863044.log
