branch,r,seed,N,steps,positive_mismatches,formula_mismatches,negative_controls_checked,negative_control_unexpected_matches,status
include_zero,1,0,64,16,0,0,8,0,PASS_LANE_EQUIVALENCE
include_zero,1,1,64,16,0,0,8,0,PASS_LANE_EQUIVALENCE
include_zero,1,2,64,16,0,0,8,0,PASS_LANE_EQUIVALENCE
include_zero,1,3,64,16,0,0,8,0,PASS_LANE_EQUIVALENCE
include_zero,1,4,64,16,0,0,8,0,PASS_LANE_EQUIVALENCE
include_zero,1,5,64,16,0,0,8,0,PASS_LANE_EQUIVALENCE
include_zero,1,6,64,16,0,0,8,0,PASS_LANE_EQUIVALENCE
include_zero,1,7,64,16,0,0,8,0,PASS_LANE_EQUIVALENCE
include_zero,1,8,64,16,0,0,8,0,PASS_LANE_EQUIVALENCE
include_zero,1,9,64,16,0,0,8,0,PASS_LANE_EQUIVALENCE
include_zero,2,0,64,16,0,0,16,0,PASS_LANE_EQUIVALENCE
include_zero,2,1,64,16,0,0,16,0,PASS_LANE_EQUIVALENCE
include_zero,2,2,64,16,0,0,16,0,PASS_LANE_EQUIVALENCE
include_zero,2,3,64,16,0,0,16,0,PASS_LANE_EQUIVALENCE
include_zero,2,4,64,16,0,0,16,0,PASS_LANE_EQUIVALENCE
include_zero,2,5,64,16,0,0,16,0,PASS_LANE_EQUIVALENCE
include_zero,2,6,64,16,0,0,16,0,PASS_LANE_EQUIVALENCE
include_zero,2,7,64,16,0,0,16,0,PASS_LANE_EQUIVALENCE
include_zero,2,8,64,16,0,0,16,0,PASS_LANE_EQUIVALENCE
include_zero,2,9,64,16,0,0,16,0,PASS_LANE_EQUIVALENCE
include_zero,4,0,64,16,0,0,32,0,PASS_LANE_EQUIVALENCE
include_zero,4,1,64,16,0,0,32,0,PASS_LANE_EQUIVALENCE
include_zero,4,2,64,16,0,0,32,0,PASS_LANE_EQUIVALENCE
include_zero,4,3,64,16,0,0,32,0,PASS_LANE_EQUIVALENCE
include_zero,4,4,64,16,0,0,32,0,PASS_LANE_EQUIVALENCE
include_zero,4,5,64,16,0,0,32,0,PASS_LANE_EQUIVALENCE
include_zero,4,6,64,16,0,0,32,0,PASS_LANE_EQUIVALENCE
include_zero,4,7,64,16,0,0,32,0,PASS_LANE_EQUIVALENCE
include_zero,4,8,64,16,0,0,32,0,PASS_LANE_EQUIVALENCE
include_zero,4,9,64,16,0,0,32,0,PASS_LANE_EQUIVALENCE
ternary,1,0,64,16,0,0,8,0,PASS_LANE_EQUIVALENCE
ternary,1,1,64,16,0,0,8,0,PASS_LANE_EQUIVALENCE
ternary,1,2,64,16,0,0,8,0,PASS_LANE_EQUIVALENCE
ternary,1,3,64,16,0,0,8,0,PASS_LANE_EQUIVALENCE
ternary,1,4,64,16,0,0,8,0,PASS_LANE_EQUIVALENCE
ternary,1,5,64,16,0,0,8,0,PASS_LANE_EQUIVALENCE
ternary,1,6,64,16,0,0,8,0,PASS_LANE_EQUIVALENCE
ternary,1,7,64,16,0,0,8,0,PASS_LANE_EQUIVALENCE
ternary,1,8,64,16,0,0,8,0,PASS_LANE_EQUIVALENCE
ternary,1,9,64,16,0,0,8,0,PASS_LANE_EQUIVALENCE
ternary,2,0,64,16,0,0,16,0,PASS_LANE_EQUIVALENCE
ternary,2,1,64,16,0,0,16,0,PASS_LANE_EQUIVALENCE
ternary,2,2,64,16,0,0,16,0,PASS_LANE_EQUIVALENCE
ternary,2,3,64,16,0,0,16,0,PASS_LANE_EQUIVALENCE
ternary,2,4,64,16,0,0,16,0,PASS_LANE_EQUIVALENCE
ternary,2,5,64,16,0,0,16,0,PASS_LANE_EQUIVALENCE
ternary,2,6,64,16,0,0,16,0,PASS_LANE_EQUIVALENCE
ternary,2,7,64,16,0,0,16,0,PASS_LANE_EQUIVALENCE
ternary,2,8,64,16,0,0,16,0,PASS_LANE_EQUIVALENCE
ternary,2,9,64,16,0,0,16,0,PASS_LANE_EQUIVALENCE
ternary,4,0,64,16,0,0,32,0,PASS_LANE_EQUIVALENCE
ternary,4,1,64,16,0,0,32,0,PASS_LANE_EQUIVALENCE
ternary,4,2,64,16,0,0,32,0,PASS_LANE_EQUIVALENCE
ternary,4,3,64,16,0,0,32,0,PASS_LANE_EQUIVALENCE
ternary,4,4,64,16,0,0,32,0,PASS_LANE_EQUIVALENCE
ternary,4,5,64,16,0,0,32,0,PASS_LANE_EQUIVALENCE
ternary,4,6,64,16,0,0,32,0,PASS_LANE_EQUIVALENCE
ternary,4,7,64,16,0,0,32,0,PASS_LANE_EQUIVALENCE
ternary,4,8,64,16,0,0,32,0,PASS_LANE_EQUIVALENCE
ternary,4,9,64,16,0,0,32,0,PASS_LANE_EQUIVALENCE
