source_id,title,venue_year,primary_url,secondary_url,verification_status,relevance
FAB686_2025,Fast amortized bootstrapping with small keys and polynomial noise overhead,ACM CCS 2025 / IACR ePrint 2025/686,https://eprint.iacr.org/2025/686,https://doi.org/10.1145/3719027.3765181,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,Target scalar sparse amortized bootstrapping paper.
MS18,Ring packing and amortized FHEW bootstrapping,ICALP 2018,https://doi.org/10.4230/LIPIcs.ICALP.2018.100,https://dblp.org/rec/conf/icalp/MicciancioS18.html,VERIFIED_OFFICIAL_METADATA,Early amortized/ring-packing bootstrapping baseline.
GPVL23,"Amortized bootstrapping revisited: Simpler, asymptotically-faster, implemented",ASIACRYPT 2023,https://eprint.iacr.org/2023/014,https://dblp.org/rec/conf/asiacrypt/GuimaraesPL23.html,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,Amortized bootstrapping algorithmic prior art.
LW23A,Batch bootstrapping I: A new framework for SIMD bootstrapping in polynomial modulus,EUROCRYPT 2023,https://doi.org/10.1007/978-3-031-30620-4_11,https://dl.acm.org/doi/10.1007/978-3-031-30620-4_11,VERIFIED_OFFICIAL_METADATA,SIMD/batch bootstrapping prior art; blocks broad batching novelty wording.
LW23B,Batch bootstrapping II: Bootstrapping in polynomial modulus only requires O(1) FHE multiplications in amortization,EUROCRYPT 2023,https://doi.org/10.1007/978-3-031-30620-4_12,https://dl.acm.org/doi/10.1007/978-3-031-30620-4_12,VERIFIED_OFFICIAL_METADATA,Batch bootstrapping amortization prior art.
LW23C,"Amortized functional bootstrapping in less than 7 ms, with O(1) polynomial multiplications",ASIACRYPT 2023,https://eprint.iacr.org/2023/910,https://dblp.org/rec/conf/asiacrypt/LiuW23.html,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,Amortized functional bootstrapping prior art.
DKMS24,Faster amortized FHEW bootstrapping using ring automorphisms,PKC 2024,https://eprint.iacr.org/2023/112,https://dblp.org/rec/conf/pkc/DeMicheliKMS24.html,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,Amortized FHEW bootstrapping acceleration using automorphisms.
CLOT21,Improved programmable bootstrapping with larger precision and efficient arithmetic circuits for TFHE,ASIACRYPT 2021,https://eprint.iacr.org/2021/729,https://dblp.org/rec/conf/asiacrypt/ChillottiLT21.html,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,TFHE programmable bootstrapping implementation/theory baseline.
INCNTT25,Faster amortized bootstrapping using the incomplete NTT for free,IACR ePrint 2025/696,https://eprint.iacr.org/2025/696,,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,Post-686 adjacent acceleration direction; separates transform/backend gains from PVW/MAT lane batching.
SHAREMASK25,Sharing the Mask: TFHE bootstrapping on Packed Messages,TCHES 2025,https://doi.org/10.46586/tches.v2025.i4.925-971,https://artifacts.iacr.org/tches/2025/a46/,VERIFIED_OFFICIAL_METADATA,Strong risk for broad common-mask/shared-mask novelty claims.
BATCHBOOT26,BatchBoot: Fast Batched Bootstrapping for TFHE Scheme,USENIX Security 2026,https://www.usenix.org/conference/usenixsecurity26/presentation/zheng,,VERIFIED_OFFICIAL_METADATA,Later batched TFHE bootstrapping systems work; useful for post-686 positioning.
