r,candidate,seed,public_rows,expected_dense_rows,zero_rows,duplicate_rows,row_count_mismatch,zero_row_distinguisher,equality_distinguisher,status,interpretation
2,dense_reference,0,9,9,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
2,dense_reference,1,9,9,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
2,dense_reference,2,9,9,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
2,dense_reference,3,9,9,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
2,dense_reference,4,9,9,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
2,dense_reference,5,9,9,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
2,dense_reference,6,9,9,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
2,dense_reference,7,9,9,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
2,dense_reference,8,9,9,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
2,dense_reference,9,9,9,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
2,row_deletion,0,8,9,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,row_deletion,1,8,9,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,row_deletion,2,8,9,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,row_deletion,3,8,9,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,row_deletion,4,8,9,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,row_deletion,5,8,9,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,row_deletion,6,8,9,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,row_deletion,7,8,9,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,row_deletion,8,8,9,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,row_deletion,9,8,9,0,0,1,0,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,deterministic_zero_dummy,0,9,9,1,0,0,1,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,deterministic_zero_dummy,1,9,9,1,0,0,1,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,deterministic_zero_dummy,2,9,9,1,0,0,1,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,deterministic_zero_dummy,3,9,9,1,0,0,1,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,deterministic_zero_dummy,4,9,9,1,0,0,1,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,deterministic_zero_dummy,5,9,9,1,0,0,1,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,deterministic_zero_dummy,6,9,9,1,0,0,1,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,deterministic_zero_dummy,7,9,9,1,0,0,1,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,deterministic_zero_dummy,8,9,9,1,0,0,1,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,deterministic_zero_dummy,9,9,9,1,0,0,1,0,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,forced_equal_dummy,0,9,9,0,1,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,forced_equal_dummy,1,9,9,0,1,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,forced_equal_dummy,2,9,9,0,1,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,forced_equal_dummy,3,9,9,0,1,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,forced_equal_dummy,4,9,9,0,1,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,forced_equal_dummy,5,9,9,0,1,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,forced_equal_dummy,6,9,9,0,1,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,forced_equal_dummy,7,9,9,0,1,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,forced_equal_dummy,8,9,9,0,1,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,forced_equal_dummy,9,9,9,0,1,0,0,1,PASS_REJECTED_DISTINGUISHABLE,Simple public-pattern probe only; not a security proof.
2,count_matched_random_dummy,0,9,9,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
2,count_matched_random_dummy,1,9,9,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
2,count_matched_random_dummy,2,9,9,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
2,count_matched_random_dummy,3,9,9,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
2,count_matched_random_dummy,4,9,9,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
2,count_matched_random_dummy,5,9,9,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
2,count_matched_random_dummy,6,9,9,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
2,count_matched_random_dummy,7,9,9,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
2,count_matched_random_dummy,8,9,9,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
2,count_matched_random_dummy,9,9,9,0,0,0,0,0,PASS_PATTERN_ONLY,Simple public-pattern probe only; not a security proof.
4,dense_reference,0,25,25,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
4,dense_reference,1,25,25,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
4,dense_reference,2,25,25,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
4,dense_reference,3,25,25,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
4,dense_reference,4,25,25,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
4,dense_reference,5,25,25,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
4,dense_reference,6,25,25,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
4,dense_reference,7,25,25,0,0,0,0,0,PASS_REFERENCE,Simple public-pattern probe only; not a security proof.
