layer,status,metric,value,continuity,claim_use,source
current_head_primary_r4,SUPPORTED_SCOPED,complete_sab_T_bootstrap_over_r,speedup=1.747647; samples=10; noise=0/10,HOTPATH_EQUIVALENT,main current-head scoped r=4 claim,repro/stage331_current_head_highstat_refresh/summary.csv
current_head_r2_smoke,SMOKE_ONLY,complete_sab_T_bootstrap_over_r,speedup=1.695000; samples=1; noise=0/1,HOTPATH_EQUIVALENT,execution-chain evidence only; not statistical performance,repro/stage341_parameter_matrix_smoke/summary.csv
stage50_stage36_target_perf_r2,PASS,high_stat_target_performance,r=2; speedup=1.191; runs=10,REFERENCE_HIGH_STAT,may_support_scoped_engineering_target_performance; not novelty/theory/all-parameter,repro/stage36_target_perf_summary.csv
stage50_stage47_current_head_smoke_r2,PASS,single_run_current_head_smoke,r=2; speedup=1.212; runs=1,CURRENT_HEAD_MEAN_WITHIN_STAGE36_CI95,current-head smoke only; superseded by Stage49 for continuity,repro/stage47_wsl_active_state_full_sab_smoke/summary.csv
stage50_stage49_current_head_repeated_r2,PASS,repeated_current_head_stability,r=2; speedup=1.265; runs=3,CURRENT_HEAD_MEAN_WITHIN_STAGE36_CI95,may support post-refactor continuity; Stage36 remains performance claim source,repro/stage49_wsl_repeated_full_sab/summary.csv
stage50_stage36_target_perf_r4,PASS,high_stat_target_performance,r=4; speedup=1.377; runs=10,REFERENCE_HIGH_STAT,may_support_scoped_engineering_target_performance; not novelty/theory/all-parameter,repro/stage36_target_perf_summary.csv
stage50_stage47_current_head_smoke_r4,PASS,single_run_current_head_smoke,r=4; speedup=1.353; runs=1,CURRENT_HEAD_MEAN_WITHIN_STAGE36_CI95,current-head smoke only; superseded by Stage49 for continuity,repro/stage47_wsl_active_state_full_sab_smoke/summary.csv
stage50_stage49_current_head_repeated_r4,PASS,repeated_current_head_stability,r=4; speedup=1.376; runs=3,CURRENT_HEAD_MEAN_WITHIN_STAGE36_CI95,may support post-refactor continuity; Stage36 remains performance claim source,repro/stage49_wsl_repeated_full_sab/summary.csv
historical_added_SET_4_5_2048_r2,PASS_ADDED_PARAM_10RUN,historical_added_binary_highstat,speedup=1.285700; runs=10; ci=1.255799..1.315601,HOTPATH_CHANGED_OR_UNRESOLVED,supporting historical added-binary evidence; rerun for current-head broader claim,repro/stage36_added_params_runs10_seeds20/performance_stats.csv
historical_added_SET_4_5_2048_r4,PASS_ADDED_PARAM_10RUN,historical_added_binary_highstat,speedup=1.350700; runs=10; ci=1.329122..1.372278,HOTPATH_CHANGED_OR_UNRESOLVED,supporting historical added-binary evidence; rerun for current-head broader claim,repro/stage36_added_params_runs10_seeds20/performance_stats.csv
historical_added_SET_2_3_4096_r2,PASS_ADDED_PARAM_10RUN,historical_added_binary_highstat,speedup=1.235100; runs=10; ci=1.210553..1.259647,HOTPATH_CHANGED_OR_UNRESOLVED,supporting historical added-binary evidence; rerun for current-head broader claim,repro/stage36_added_params_runs10_seeds20/performance_stats.csv
historical_added_SET_2_3_4096_r4,PASS_ADDED_PARAM_10RUN,historical_added_binary_highstat,speedup=1.346200; runs=10; ci=1.285926..1.406474,HOTPATH_CHANGED_OR_UNRESOLVED,supporting historical added-binary evidence; rerun for current-head broader claim,repro/stage36_added_params_runs10_seeds20/performance_stats.csv
