id,work,source_url,access_status_2026_06_25,usable_evidence,claim_effect
FAB686_AUTHOR,"Fast amortized bootstrapping with small keys and polynomial noise overhead","https://antonioguimaraes.org/tag/amortized-bootstrapping/","ACCESSIBLE_METADATA_ABSTRACT","Author page exposes title, CCS 2025 association, abstract-level claims, and code link.","Anchor the base 2025/686 lineage; do not cite theorem or algorithm numbers from metadata."
FAB686_GITHUB,"Fast-Amortized-Bootstrapping repository","https://github.com/antoniocgj/Fast-Amortized-Bootstrapping","ACCESSIBLE_REPOSITORY","README exposes parameter families, build commands, and AVX512 performance-platform warning.","Use for code lineage, reproducibility, parameter family, and backend-scope evidence."
FAB686_ACM,"ACM DOI 10.1145/3719027.3765181","https://dl.acm.org/doi/10.1145/3719027.3765181","METADATA_ACCESSIBLE_PDF_BLOCKED","ACM metadata identifies the publication; PDF fetch remains blocked in this environment.","Do not perform full-paper citation checks against ACM PDF from this environment."
FAB686_EPRINT,"IACR ePrint 2025/686","https://eprint.iacr.org/2025/686","METADATA_OR_SEARCH_ONLY","Direct page/PDF access remains unavailable from this environment.","Full 2025/686 paper must still be obtained manually before theorem-level manuscript claims."
CM2112_FULLTEXT,"Sharing the Mask: TFHE Bootstrapping on Packed Messages","https://www.researchgate.net/publication/395320098_Sharing_the_Mask_TFHE_Bootstrapping_on_Packed_Messages","PUBLIC_FULLTEXT_ACCESSIBLE","Public full-text exposes common-mask ciphertexts, shared mask, multiple bodies, distinct LUTs, and CM bootstrapping context.","High novelty risk for shared-mask and multi-body TFHE batching claims."
CM2112_DBLP,"Sharing the Mask DBLP/TCHES metadata","https://dblp.org/rec/journals/iacr/DucasT25.html","BIBLIOGRAPHIC_METADATA_ACCESSIBLE","DBLP records TCHES 2025(4) pages 925-971 and ePrint 2025/2112 linkage.","Use for bibliographic identity and source triangulation."
INTT696_EPRINT,"Faster amortized bootstrapping using the incomplete NTT for free","https://eprint.iacr.org/2025/696.pdf","PUBLIC_PDF_ACCESSIBLE","Full ePrint PDF is accessible and describes incomplete-NTT amortized bootstrapping.","Adjacent acceleration path; not direct PVW/MAT shared-mask SAB integration."
INTT696_GITHUB,"incomplete_ntt_amortized_bt repository","https://github.com/thalespaiva/incomplete_ntt_amortized_bt","ACCESSIBLE_REPOSITORY","Repository links to ePrint 2025/696 and records single-thread benchmark reproducibility context.","Use as adjacent reproducibility/code evidence, not same-technique novelty evidence."
GPVL23,"Amortized Bootstrapping Revisited","https://www.esat.kuleuven.be/cosic/wp-content/uploads/2023/12/2023-asiacrypt-GPVL.pdf","PUBLIC_PDF_ACCESSIBLE","Public PDF provides earlier amortized bootstrapping context and polynomial-multiplication motivation.","Background for amortized bootstrapping lineage."
BOOT_SURVEY_2026,"Bootstrapping in FHEW-like cryptosystems: A survey","https://www.researchgate.net/publication/390905714_Bootstrapping_in_FHEW-like_cryptosystems_A_survey","SECONDARY_SOURCE_ACCESSIBLE","Survey-style source gives recent bootstrapping optimization context.","Use only as secondary related-work map, not primary novelty evidence."
