source,route,status,quantitative_result,evidence,stage211_consequence
Stage162,same_format_materialization_count_reduction,CLOSED,reducible_calls_without_representation_change=0,repro/stage162_materialization_count_feasibility/summary.csv,Do not claim fewer from_DFT calls under current torus-input API.
Stage163,component_major_from_DFT_batching,NEUTRAL_NOT_PROMOTED,component_major_over_backend_current_mean=0.972807930,repro/stage163_from_dft_batching_microbench/summary.csv,Do not repeat backend batching without a new mechanism.
Stage174,direct_scale_backend_from_DFT_add,NEUTRAL_OR_REJECT,baseline/direct_scale=0.990754925;0.949781500,repro/stage174_from_dft_direct_scale_gate/summary.csv,Do not implement direct-scale/fused-add variants as full-SAB candidates.
Stage136,batched_decompose_to_DFT,NEUTRAL_OR_NEGATIVE,r4 speedup_current_over_batched=0.739827,repro/stage136_batched_decomp_dft_gate/summary.csv,Do not reopen this batched decomp/DFT variant.
Stage156,naive_lazy_DFT_accumulator,REJECTED_NONCLOSED,decomposition nonlinearity counterexamples found,repro/stage156_lazy_dft_closure_gate/summary.csv,Do not keep only DFT accumulator state without a new exact decomposition API.
Stage164,representation_change,PROOF_OR_NEW_API_REQUIRED,same-format closed; representation route must prove closure/noise,repro/stage164_representation_closure_route/summary.csv,Representation changes are not local DFT tuning.
same_format_call_count_reduction,algorithmic_count,REJECTED,reducible_calls_without_representation_change=0,repro/stage162_materialization_count_feasibility/materialization_lower_bound.csv,do not reopen without representation change
backend_component_major_batching,backend_wall_time,NEUTRAL,component_major_batch_over_backend_current_mean=0.972807930,repro/stage163_from_dft_batching_microbench/comparison.csv,do not integrate into full SAB
direct_scale_or_fused_add_variant,backend_wall_time,NEUTRAL_OR_REJECT,baseline/direct_scale mean ratio=0.990754925,repro/stage174_from_dft_direct_scale_gate/comparison.csv,do not keep tuning direct-scale
batched_decompose_to_DFT,decomp_dft_dataflow,REJECTED,r4 speedup_current_over_batched=0.739827 at N=1024 and 0.671246 at N=512,repro/stage136_batched_decomp_dft_gate/ratio_summary.csv,do not reopen this batching shape
new_torus_to_DFT_backend_kernel,backend_primitive,OPEN_ONLY_EXTERNALLY,must beat component speedup 1.208076492; no local MOSFHET code path identified,repro/stage194_exact_dft_conversion_preflight/component_budget.csv,"requires backend-library kernel work or external perf evidence, not local SAB code"
lazy_DFT_or_DFT_state_accumulator,representation_change,REJECTED_OR_PROOF_BLOCKED,naive lazy DFT rejected; representation change needs closure/noise proof,repro/stage156_lazy_dft_closure_gate/summary.csv; repro/stage164_representation_closure_route/summary.csv,keep as proof route only
