gate,status,classification,evidence
D0_baseline,PASS,RECOMPUTED_FROM_PINNED_SOURCE,PASS_D0_CANDIDATE_D_BASELINES_FROZEN
D1_novelty,PASS,RECOMPUTED_FROM_HASH_BOUND_FULLTEXT_REGISTRY,PASS_D1_DISTINCT_SAB_OPERATOR_CLAIM_REMAINS_TESTABLE; missing=none
D2_closure,PASS,CANONICAL_D2_SOURCE_ARTIFACT,PASS_D2_OPERATOR_CLOSURE_G_LE_4
D2_replay_authentication,PASS,PINNED_CANONICAL_REPLAY_REQUIRED,scripts/run_candidate_d_d2_closure.py
D2_gamma_count,2,CLOSURE_BASIS_CARDINALITY,required range is 1..4
D2_negative_controls,PASS,CANONICAL_NEGATIVE_CONTROL_ROWS,every control must be detected
D3_integer_binding,PASS,CANONICAL_BINDING_DOMAIN_ROWS,PASS
D3_replay_authentication,PASS,PINNED_CANONICAL_REPLAY_REQUIRED,scripts/run_candidate_d_d3_admission.py
D3_standard_object_security,PASS,CANONICAL_SECURITY_OBJECT_MAP_ROWS,PASS
D3_noise_decode,PASS,CANONICAL_NOISE_BOUND_ROWS,PASS
D3_complete_cost,PASS,CANONICAL_AMDAHL_PROJECTION_ROW,PASS
D3_resource,PASS,CANONICAL_RESOURCE_PROJECTION_ROWS,PASS
D3_pessimistic_projection,1.459858916315,B1_SPEEDUP_RATIO,admission threshold is >=1.10
pre_application_permission,NO,PRESERVED_PRE_APPLICATION_STATE,admission requires NO
production_hot_path_permission,YES,COMPLETION_BOUNDARY,ADMIT_CANDIDATE_D_TO_ISOLATED_ENCRYPTED_OPERATOR_IMPLEMENTATION
terminal_decision,ADMIT_CANDIDATE_D_TO_ISOLATED_ENCRYPTED_OPERATOR_IMPLEMENTATION,DERIVED_PRIORITY_ORDER,209b595ed6b0220284c2e832978de5f447367fb7c0636043a1ef2ee7a9ef901b
finite_resume_condition,NONE,EXACT_EXTERNAL_INPUT,none
