source_id,title,venue_year,primary_url,secondary_url,verification_status,allowed_use,citation_status,claim_boundary
FAB686_2025,Fast amortized bootstrapping with small keys and polynomial noise overhead,IACR ePrint 2025/686; ACM CCS 2025 metadata,https://eprint.iacr.org/2025/686,https://github.com/antoniocgj/Fast-Amortized-Bootstrapping,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,Target baseline; our work must be framed as PVW/MAT-SAB on top of this schedule.,SOURCE_ROW_VERIFIED_BY_STAGE230,metadata/background/related-work support only unless a later full-text claim support row says otherwise
INCNTT25_696,Faster amortized bootstrapping using the incomplete NTT for free,IACR ePrint 2025/696,https://eprint.iacr.org/2025/696,https://github.com/thalespaiva/incomplete_ntt_amortized_bt,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,Direct adjacent post-686 acceleration; backend/transform gains must be separated from PVW/MAT lane batching.,SOURCE_ROW_VERIFIED_BY_STAGE230,metadata/background/related-work support only unless a later full-text claim support row says otherwise
SHAREMASK25_2112,Sharing the Mask: TFHE Bootstrapping on Packed Messages,TCHES 2025(4):925-971 metadata,https://doi.org/10.46586/tches.v2025.i4.925-971,https://dblp.org/rec/journals/tches/BergeratBCOPT25,VERIFIED_OFFICIAL_METADATA,Strong prior-art risk for broad shared-mask/common-mask and packed-message novelty claims.,SOURCE_ROW_VERIFIED_BY_STAGE230,metadata/background/related-work support only unless a later full-text claim support row says otherwise
BATCHBOOT26,BatchBoot: Fast Batched Bootstrapping for TFHE scheme and Practical Applications,USENIX Security 2026 accepted/prepub metadata,https://www.usenix.org/conference/usenixsecurity26/presentation/li-zhihao,https://www.usenix.org/system/files/conference/usenixsecurity26/sec26_prepub_li-zhihao.pdf,VERIFIED_OFFICIAL_METADATA,Systems-level batched TFHE work; broad batched bootstrapping novelty is blocked.,SOURCE_ROW_VERIFIED_BY_STAGE230,metadata/background/related-work support only unless a later full-text claim support row says otherwise
LW23A_B,Batch Bootstrapping I/II,EUROCRYPT 2023,https://dl.acm.org/doi/10.1007/978-3-031-30620-4_11,https://dl.acm.org/doi/10.1007/978-3-031-30620-4_12,VERIFIED_OFFICIAL_METADATA,Batch/SIMD bootstrapping framework prior art; blocks broad amortized/SIMD novelty.,SOURCE_ROW_VERIFIED_BY_STAGE230,metadata/background/related-work support only unless a later full-text claim support row says otherwise
BGH2012_565,Packed Ciphertexts in LWE-based Homomorphic Encryption,IACR ePrint 2012/565; PKC 2013 metadata,https://eprint.iacr.org/2012/565,https://dblp.org/rec/journals/iacr/BrakerskiGH12,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,PVW/LWE packing background; PVW packing itself is not novel.,SOURCE_ROW_VERIFIED_BY_STAGE230,metadata/background/related-work support only unless a later full-text claim support row says otherwise
CGGI2018_421,TFHE: Fast Fully Homomorphic Encryption over the Torus,IACR ePrint 2018/421; Journal of Cryptology 2019,https://eprint.iacr.org/2018/421,https://dl.acm.org/doi/10.1007/s00145-019-09319-x,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,TFHE and external-product background; our external-product use must be scoped to MAT/PVW-SAB integration.,SOURCE_ROW_VERIFIED_BY_STAGE230,metadata/background/related-work support only unless a later full-text claim support row says otherwise
MS2018_532,Ring Packing and Amortized FHEW Bootstrapping,ICALP 2018; IACR ePrint 2018/532,https://eprint.iacr.org/2018/532,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2018.100,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,Foundational amortized FHEW line; amortization over many bits is established prior art.,SOURCE_ROW_VERIFIED_BY_STAGE230,metadata/background/related-work support only unless a later full-text claim support row says otherwise
GPVL2023_014,"Amortized Bootstrapping Revisited: Simpler, Asymptotically-faster, Implemented",IACR ePrint 2023/014; ASIACRYPT 2023,https://eprint.iacr.org/2023/014,https://dblp.org/rec/conf/asiacrypt/GuimaraesPL23,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,Lineage for practical amortized bootstrapping; our claim must focus on 2025/686 PVW/MAT implementation.,SOURCE_ROW_VERIFIED_BY_STAGE230,metadata/background/related-work support only unless a later full-text claim support row says otherwise
DKMS2024_112,Faster Amortized FHEW Bootstrapping Using Ring Automorphisms,IACR ePrint 2023/112; PKC 2024,https://eprint.iacr.org/2023/112,https://dl.acm.org/doi/10.1007/978-3-031-57728-4_11,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,Adjacent amortized acceleration via automorphisms; blocks broad acceleration novelty.,SOURCE_ROW_VERIFIED_BY_STAGE230,metadata/background/related-work support only unless a later full-text claim support row says otherwise
LW2023_910,"Amortized Functional Bootstrapping in less than 7ms, with O(1) polynomial multiplications",IACR ePrint 2023/910; ASIACRYPT 2023,https://eprint.iacr.org/2023/910,https://dblp.org/rec/conf/asiacrypt/LiuW23,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,Adjacent amortized functional bootstrapping; performance wording must be context-specific.,SOURCE_ROW_VERIFIED_BY_STAGE230,metadata/background/related-work support only unless a later full-text claim support row says otherwise
