r,N,seed,phase_match_zero_dummy,dense_noise_bound,skip_noise_bound,skip_le_dense_noise,status,interpretation
2,8,0,1,24,22,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
2,8,1,1,24,22,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
2,8,2,1,29,28,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
2,8,3,1,23,22,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
2,8,4,1,26,21,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
2,8,5,1,30,28,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
2,8,6,1,33,31,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
2,8,7,1,26,25,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
2,8,8,1,25,24,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
2,8,9,1,23,20,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
2,16,0,1,19,16,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
2,16,1,1,30,25,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
2,16,2,1,22,18,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
2,16,3,1,25,24,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
2,16,4,1,17,16,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
2,16,5,1,25,21,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
2,16,6,1,28,26,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
2,16,7,1,28,27,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
2,16,8,1,28,23,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
2,16,9,1,32,28,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
4,8,0,1,78,47,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
4,8,1,1,87,57,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
4,8,2,1,75,46,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
4,8,3,1,62,36,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
4,8,4,1,72,44,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
4,8,5,1,78,48,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
4,8,6,1,78,49,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
4,8,7,1,76,53,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
4,8,8,1,78,46,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
4,8,9,1,78,52,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
4,16,0,1,59,34,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
4,16,1,1,71,46,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
4,16,2,1,74,45,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
4,16,3,1,73,48,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
4,16,4,1,73,45,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
4,16,5,1,72,42,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
4,16,6,1,64,36,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
4,16,7,1,86,57,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
4,16,8,1,80,51,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
4,16,9,1,77,47,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
6,8,0,1,148,77,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
6,8,1,1,140,74,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
6,8,2,1,143,69,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
6,8,3,1,135,70,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
6,8,4,1,142,68,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
6,8,5,1,146,78,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
6,8,6,1,159,83,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
6,8,7,1,139,69,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
6,8,8,1,153,72,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
6,8,9,1,142,69,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
6,16,0,1,135,64,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
6,16,1,1,142,84,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
6,16,2,1,155,82,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
6,16,3,1,148,70,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
6,16,4,1,170,84,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
6,16,5,1,143,66,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
6,16,6,1,147,69,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
6,16,7,1,154,66,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
6,16,8,1,154,80,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
6,16,9,1,141,68,1,PASS,Semantic-zero dummy rows can be skipped in the finite key-object model.
