probe,r,seed,active_rows,dummy_rows,mismatches,expected,status,interpretation
semantic_zero_dummy_skip,2,0,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,0,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,0,7,2,8,>0,PASS,"Removing active row (0, 1) must change finite phase."
semantic_zero_dummy_skip,2,1,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,1,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,1,7,2,8,>0,PASS,"Removing active row (0, 2) must change finite phase."
semantic_zero_dummy_skip,2,2,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,2,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,2,7,2,8,>0,PASS,"Removing active row (1, 0) must change finite phase."
semantic_zero_dummy_skip,2,3,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,3,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,3,7,2,8,>0,PASS,"Removing active row (1, 1) must change finite phase."
semantic_zero_dummy_skip,2,4,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,4,8,1,23,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,4,7,2,8,>0,PASS,"Removing active row (1, 2) must change finite phase."
semantic_zero_dummy_skip,2,5,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,5,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,5,7,2,8,>0,PASS,"Removing active row (2, 0) must change finite phase."
semantic_zero_dummy_skip,2,6,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,6,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,6,7,2,8,>0,PASS,"Removing active row (2, 1) must change finite phase."
semantic_zero_dummy_skip,2,7,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,7,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,7,7,2,8,>0,PASS,"Removing active row (2, 2) must change finite phase."
semantic_zero_dummy_skip,2,8,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,8,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,8,7,2,8,>0,PASS,"Removing active row (0, 1) must change finite phase."
semantic_zero_dummy_skip,2,9,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,9,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,9,7,2,8,>0,PASS,"Removing active row (0, 2) must change finite phase."
semantic_zero_dummy_skip,2,10,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,10,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,10,7,2,8,>0,PASS,"Removing active row (1, 0) must change finite phase."
semantic_zero_dummy_skip,2,11,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,11,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,11,7,2,8,>0,PASS,"Removing active row (1, 1) must change finite phase."
semantic_zero_dummy_skip,2,12,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,12,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,12,7,2,8,>0,PASS,"Removing active row (1, 2) must change finite phase."
semantic_zero_dummy_skip,2,13,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,13,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,13,7,2,8,>0,PASS,"Removing active row (2, 0) must change finite phase."
semantic_zero_dummy_skip,2,14,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,14,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,14,7,2,8,>0,PASS,"Removing active row (2, 1) must change finite phase."
semantic_zero_dummy_skip,2,15,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,15,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,15,7,2,8,>0,PASS,"Removing active row (2, 2) must change finite phase."
semantic_zero_dummy_skip,2,16,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,16,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,16,7,2,8,>0,PASS,"Removing active row (0, 1) must change finite phase."
semantic_zero_dummy_skip,2,17,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,17,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,17,7,2,8,>0,PASS,"Removing active row (0, 2) must change finite phase."
semantic_zero_dummy_skip,2,18,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,18,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,18,7,2,8,>0,PASS,"Removing active row (1, 0) must change finite phase."
semantic_zero_dummy_skip,2,19,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,19,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,19,7,2,8,>0,PASS,"Removing active row (1, 1) must change finite phase."
semantic_zero_dummy_skip,2,20,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,20,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,20,7,2,8,>0,PASS,"Removing active row (1, 2) must change finite phase."
semantic_zero_dummy_skip,2,21,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,21,8,1,23,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,21,7,2,8,>0,PASS,"Removing active row (2, 0) must change finite phase."
semantic_zero_dummy_skip,2,22,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,22,8,1,23,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,22,7,2,8,>0,PASS,"Removing active row (2, 1) must change finite phase."
semantic_zero_dummy_skip,2,23,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,23,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,23,7,2,8,>0,PASS,"Removing active row (2, 2) must change finite phase."
semantic_zero_dummy_skip,2,24,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,24,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,24,7,2,8,>0,PASS,"Removing active row (0, 1) must change finite phase."
semantic_zero_dummy_skip,2,25,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,25,8,1,23,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,25,7,2,8,>0,PASS,"Removing active row (0, 2) must change finite phase."
semantic_zero_dummy_skip,2,26,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,26,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,26,7,2,8,>0,PASS,"Removing active row (1, 0) must change finite phase."
semantic_zero_dummy_skip,2,27,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,27,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,27,7,2,8,>0,PASS,"Removing active row (1, 1) must change finite phase."
semantic_zero_dummy_skip,2,28,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,28,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,28,7,2,8,>0,PASS,"Removing active row (1, 2) must change finite phase."
semantic_zero_dummy_skip,2,29,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,29,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,29,7,2,7,>0,PASS,"Removing active row (2, 0) must change finite phase."
semantic_zero_dummy_skip,2,30,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,30,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,30,7,2,8,>0,PASS,"Removing active row (2, 1) must change finite phase."
semantic_zero_dummy_skip,2,31,8,1,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,2,31,8,1,24,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,2,31,7,2,8,>0,PASS,"Removing active row (2, 2) must change finite phase."
semantic_zero_dummy_skip,4,0,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,0,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,0,15,10,8,>0,PASS,"Removing active row (0, 1) must change finite phase."
semantic_zero_dummy_skip,4,1,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,1,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,1,15,10,8,>0,PASS,"Removing active row (0, 2) must change finite phase."
semantic_zero_dummy_skip,4,2,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,2,16,9,39,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,2,15,10,8,>0,PASS,"Removing active row (0, 3) must change finite phase."
semantic_zero_dummy_skip,4,3,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,3,16,9,39,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,3,15,10,8,>0,PASS,"Removing active row (0, 4) must change finite phase."
semantic_zero_dummy_skip,4,4,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,4,16,9,39,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,4,15,10,7,>0,PASS,"Removing active row (1, 0) must change finite phase."
semantic_zero_dummy_skip,4,5,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,5,16,9,39,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,5,15,10,8,>0,PASS,"Removing active row (1, 1) must change finite phase."
semantic_zero_dummy_skip,4,6,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,6,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,6,15,10,8,>0,PASS,"Removing active row (1, 2) must change finite phase."
semantic_zero_dummy_skip,4,7,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,7,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,7,15,10,8,>0,PASS,"Removing active row (2, 0) must change finite phase."
semantic_zero_dummy_skip,4,8,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,8,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,8,15,10,8,>0,PASS,"Removing active row (2, 2) must change finite phase."
semantic_zero_dummy_skip,4,9,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,9,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,9,15,10,8,>0,PASS,"Removing active row (2, 3) must change finite phase."
semantic_zero_dummy_skip,4,10,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,10,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,10,15,10,8,>0,PASS,"Removing active row (3, 0) must change finite phase."
semantic_zero_dummy_skip,4,11,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,11,16,9,38,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,11,15,10,8,>0,PASS,"Removing active row (3, 3) must change finite phase."
semantic_zero_dummy_skip,4,12,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,12,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,12,15,10,8,>0,PASS,"Removing active row (3, 4) must change finite phase."
semantic_zero_dummy_skip,4,13,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,13,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,13,15,10,8,>0,PASS,"Removing active row (4, 0) must change finite phase."
semantic_zero_dummy_skip,4,14,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,14,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,14,15,10,8,>0,PASS,"Removing active row (4, 1) must change finite phase."
semantic_zero_dummy_skip,4,15,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,15,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,15,15,10,8,>0,PASS,"Removing active row (4, 4) must change finite phase."
semantic_zero_dummy_skip,4,16,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
negative_random_dummy_rows,4,16,16,9,40,>0,PASS,Random dummy semantics must not be skipped.
negative_missing_active_row,4,16,15,10,8,>0,PASS,"Removing active row (0, 1) must change finite phase."
semantic_zero_dummy_skip,4,17,16,9,0,0,PASS,Skipping declared dummy-zero rows preserves finite phase.
