check,status,evidence,detail
verification_input_commit,ee8ab0d,git rev-parse --short HEAD,Commit checked before writing verifier output artifacts.
worktree_clean_before_outputs,PASS,git status --short --untracked-files=all,tracked and untracked worktree was clean before verifier outputs.
stage40_decision,PASS,repro/stage40_final_freeze_summary.csv,SCOPED_FREEZE_READY_STRONGER_CLAIMS_BLOCKED
final_audit_A9,PASS,repro/final_goal_completion_audit.csv,SCOPED_ENGINEERING_CHAIN_READY__STRONGER_CLAIMS_BLOCKED
stage39_no_variant_promoted,PASS,repro/stage39_variant_triage.csv,NO_NEW_VARIANT_PROMOTED_CURRENTLY
external_blockers_preserved,PASS,repro/stage35_completion_blockers.csv,A8=BLOCKED_EXTERNAL; A8b=MISSING_OPTIONAL_EXTERNAL_EVIDENCE
freeze_manifest_paths,PASS,repro/stage40_final_freeze_manifest.csv,all manifest paths exist
freeze_manifest_hashes,PASS,repro/stage40_final_freeze_manifest.csv,all manifest hashes match
stage40_run_log_row,PASS,repro/run_log.csv,stage40-final-freeze-001 present
postfreeze_decision,PASS_POSTFREEZE_VERIFY,repro/stage40_postfreeze_verify/summary.csv,Scoped freeze is internally consistent; stronger claims remain blocked.
