seed,N,modulus,a,case,control,observed_head,expected_head,match,status,interpretation
0,16,257,5,binary_matches_scalar,positive,176 202 230 3,176 202 230 3,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
0,16,257,5,include_zero_c0_matches_identity,positive,22 26 32 40,22 26 32 40,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
0,16,257,5,include_zero_c1_matches_binary,positive,176 202 230 3,176 202 230 3,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
0,16,257,5,ternary_positive_matches_binary,positive,176 202 230 3,176 202 230 3,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
0,16,257,5,ternary_negative_requires_inverse_rotation,positive,62 76 92 110,62 76 92 110,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
0,16,257,5,pvw_binary_naive_fails_ternary_negative,negative_control,176 202 230 3,62 76 92 110,no,PASS_COUNTEREXAMPLE,"finite rotation semantics check, not a SAB correctness proof"
1,16,257,9,binary_matches_scalar,positive,104 123 144 167,104 123 144 167,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
1,16,257,9,include_zero_c0_matches_identity,positive,27 32 39 48,27 32 39 48,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
1,16,257,9,include_zero_c1_matches_binary,positive,104 123 144 167,104 123 144 167,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
1,16,257,9,ternary_positive_matches_binary,positive,104 123 144 167,104 123 144 167,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
1,16,257,9,ternary_negative_requires_inverse_rotation,positive,144 167 192 219,144 167 192 219,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
1,16,257,9,pvw_binary_naive_fails_ternary_negative,negative_control,104 123 144 167,144 167 192 219,no,PASS_COUNTEREXAMPLE,"finite rotation semantics check, not a SAB correctness proof"
2,16,257,11,binary_matches_scalar,positive,82 98 116 136,82 98 116 136,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
2,16,257,11,include_zero_c0_matches_identity,positive,32 38 46 56,32 38 46 56,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
2,16,257,11,include_zero_c1_matches_binary,positive,82 98 116 136,82 98 116 136,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
2,16,257,11,ternary_positive_matches_binary,positive,82 98 116 136,82 98 116 136,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
2,16,257,11,ternary_negative_requires_inverse_rotation,positive,208 236 9 41,208 236 9 41,yes,PASS_EQUIVALENCE,"finite rotation semantics check, not a SAB correctness proof"
2,16,257,11,pvw_binary_naive_fails_ternary_negative,negative_control,82 98 116 136,208 236 9 41,no,PASS_COUNTEREXAMPLE,"finite rotation semantics check, not a SAB correctness proof"
