claim_id,claim,status,evidence,limits,next_action
scalar_baseline_preserved,Default scalar SAB remains runnable and is not replaced by sab_pvw code,SUPPORTED,"repro/run_log.csv scalar baseline rows through Stage 8; latest default spqlios smoke after Stage 9 probe passed on 2026-06-12; scalar sab_rlwe_bootstrap remains separate from sab_pvw APIs","No formal ABI compatibility test beyond build and smoke runs","Keep default scalar smoke in any later code-changing stage"
sab_pvw_full_path_exists,A separate sab_pvw full-output binary bootstrap path exists for target-shape comparison,SUPPORTED,"include/sab_pvw.h; src/sab_pvw.c; docs/stage5_pvw_full_bootstrap_log.md; run_log row stage5-pvw-target-full-spqlios-001","Binary target path only; ternary include-zero and gaussian branches are out of current scope","Do not generalize beyond binary 2025/686 target without new gates"
lane_correctness,PVW/MAT_TRGSW lanes match repeated scalar lanes for staged SAB operations,SUPPORTED,"docs/stage4_pvw_cmux_ncmux_log.md; docs/stage5_pvw_rgsw_monomial_log.md; docs/stage5_pvw_sparse_mul_log.md; docs/stage5_pvw_bootstrap_wo_extract_log.md; docs/stage5_pvw_extract_log.md; docs/stage5_pvw_packing_hwks_log.md","Small-shape staged checks plus target-shape full-output gate; not every unsupported parameter branch is covered","Retain small-shape staged gates when changing hot path"
target_final_correctness_noise,Clear-elision PVW final outputs pass deterministic target-shape correctness and noise gates for r=2 and r=4,SUPPORTED_ENGINEERING,"repro/stage8_clear_elision_seed_sweep_summary.csv: r=2 50 seeds 204800 points failures 0; r=4 50 seeds 409600 points failures 0; docs/stage9_statistical_evidence.md","Seed-level 95 percent zero-failure upper bound remains 5.815508e-02; not a paper-grade failure-rate claim","Define independent-trial model and failure target before larger paper campaign"
stage_noise_explained,Initial stage-level PVW-vs-scalar pair-noise probe identifies no quantized pair failures across measured boundaries,SUPPORTED_SMOKE,"docs/stage9_stage_noise_probe.md; repro/stage9_stage_noise_summary.csv: r=2 and r=4 pair_failures 0 at blind_rotate_coeff0 extract materialize_tlwe packing_ks hw_ks","trials=1 smoke; blind rotation compares coefficient 0 because final extraction uses coefficient 0","Run multi-seed stage probe only if final report needs stage-local noise statistics"
full_sab_speedup,Complete sab_pvw full-output bootstrapping improves same-backend throughput over repeated scalar SAB for r=2 and r=4,SUPPORTED_ENGINEERING,"repro/stage8_full_bootstrap_gain_separation.csv; docs/stage8_gain_separation.md: clear-elision spqlios speedup 1.269x at r=2 and 1.337x at r=4","Three process runs with two paired reps per process; engineering evidence not a formal benchmark study","Use larger randomized benchmark matrix for paper-grade timing statistics"
backend_separation,Algorithmic gain is separated from backend or SIMD effects,SUPPORTED,"repro/stage8_full_bootstrap_gain_separation.csv includes spqlios same-backend rows and spqlios_avx512/ffnt backend rows","AVX512 result is backend-sensitive and r=2 has unstable relative speedup","Keep reporting same-backend speedup as primary algorithmic metric"
resource_overhead,Key size memory and keygen overhead are recorded for r=2 and r=4,SUPPORTED,"repro/stage7_resource_summary.csv: r=2 key ratio 1.013617 RSS comparable; r=4 key ratio 1.065349 RSS comparable","Resource rows were recorded before clear-elision but clear-elision changed kernel timing not key layout","Rerun resource metrics only if key layout or tmp allocation changes"
novelty_claim,The work is a defensible paper-level novel algorithmic contribution,NOT_SUPPORTED_YET,"docs/stage9_novelty_scan.md marks safe claim as engineering or systems optimization","Closest related work has not been read at algorithm-step level and citation support is not complete","Run deeper related-work audit before paper novelty claim"
final_engineering_claim,Engineering claim that sab_pvw accelerates 2025/686 full SAB under current scope is supportable,SUPPORTED_ENGINEERING,"Stage 5 target full correctness; Stage 8 clear-elision full SAB A/B; Stage 8 50-seed r=2/r=4 noise sweeps; Stage 9 statistical and stage-noise summaries; repro run log and artifact manifest","Scope is binary SET_2_3_2048 shape on WSL/Linux spqlios; not a universal algorithm theorem","Prepare final report or paper section with explicit scope boundaries"
