config,backend,r,N,T,Bg_bit,seed,dft_mismatches,max_dft_gap,torus_max_gap,closed_input_dft_conversions,closed_lower_bound,lower_bound_status,status
generic_avx512,generic_avx512,2,1024,1,23,0,0,0.000000000,0.000000000,3,3,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
generic_avx512,generic_avx512,4,1024,1,23,0,0,0.000000000,0.000000000,5,5,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
generic_avx512,generic_avx512,6,1024,1,23,0,0,0.000000000,0.000000000,7,7,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
generic_avx512,generic_avx512,2,2048,1,23,0,0,0.000000000,0.000000000,3,3,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
generic_avx512,generic_avx512,4,2048,1,23,0,0,0.000000000,0.000000000,5,5,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
generic_avx512,generic_avx512,6,2048,1,23,0,0,0.000000000,0.000000000,7,7,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
smallr_avx512,smallr_avx512,2,1024,1,23,0,619,8796093022208.000000000,549755813888.000000000,3,3,AT_LOWER_BOUND,FAIL
smallr_avx512,smallr_avx512,4,1024,1,23,0,1326,17592186044416.000000000,824633720832.000000000,5,5,AT_LOWER_BOUND,FAIL
smallr_avx512,smallr_avx512,6,1024,1,23,0,0,0.000000000,0.000000000,7,7,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
smallr_avx512,smallr_avx512,2,2048,1,23,0,1242,17592186044416.000000000,1374389534720.000000000,3,3,AT_LOWER_BOUND,FAIL
smallr_avx512,smallr_avx512,4,2048,1,23,0,2556,35184372088832.000000000,2199023255552.000000000,5,5,AT_LOWER_BOUND,FAIL
smallr_avx512,smallr_avx512,6,2048,1,23,0,0,0.000000000,0.000000000,7,7,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
r4_unrolled_avx512,r4_unrolled_avx512,2,1024,1,23,0,619,8796093022208.000000000,549755813888.000000000,3,3,AT_LOWER_BOUND,FAIL
r4_unrolled_avx512,r4_unrolled_avx512,4,1024,1,23,0,1326,17592186044416.000000000,824633720832.000000000,5,5,AT_LOWER_BOUND,FAIL
r4_unrolled_avx512,r4_unrolled_avx512,6,1024,1,23,0,0,0.000000000,0.000000000,7,7,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
r4_unrolled_avx512,r4_unrolled_avx512,2,2048,1,23,0,1242,17592186044416.000000000,1374389534720.000000000,3,3,AT_LOWER_BOUND,FAIL
r4_unrolled_avx512,r4_unrolled_avx512,4,2048,1,23,0,2556,35184372088832.000000000,2199023255552.000000000,5,5,AT_LOWER_BOUND,FAIL
r4_unrolled_avx512,r4_unrolled_avx512,6,2048,1,23,0,0,0.000000000,0.000000000,7,7,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
