claim_id,claim,status_label,manuscript_action,allowed_wording,blocked_wording,primary_evidence,external_sources
C1,PVW/MAT-SAB implementation exists beside scalar SAB,SUPPORTED_ENGINEERING,allowed_if_scoped,The repository contains an explicit PVW/MAT-SAB path that preserves the scalar SAB comparison path under tested gates.,This is a replacement for scalar SAB or a new SAB protocol.,docs/stage5_pvw_full_bootstrap_log.md; docs/stage20_active_buffer_log.md,FAB686_GITHUB
C2,Complete SAB throughput improves over repeated scalar SAB on tested binary targets,SUPPORTED_SCOPED_ENGINEERING,allowed_if_scoped,"Under the recorded backend and binary target scope, the explicit PVW/MAT-SAB path improves complete-SAB throughput over repeated scalar SAB.",The implementation accelerates all SAB variants or guarantees multi-fold speedup.,docs/stage20_active_buffer_log.md; docs/stage22_mat_avx512_limit_audit_log.md; docs/stage27_final_full_sab_performance_log.md,FAB686_GITHUB
C3,Current promoted r=2/r=4 target path passes multi-seed final-output noise gates,SUPPORTED_TARGET_NOISE,allowed_if_scoped,The promoted target path passed 50-seed final-output noise checks for r=2 and r=4 under the recorded binary target.,Noise behavior is proven for all parameters and non-binary branches.,docs/stage25_correctness_noise_resource_log.md,FAB686_GITHUB
C4,Added binary parameters have performance/noise support,SUPPORTED_SMALL_SAMPLE,allowed_if_scoped,Two added binary parameters have r=2/r=4 5-run/5-seed small-sample support with zero observed failures.,This is broad all-parameter statistical evidence.,docs/stage26_parameter_perf_noise_log.md; repro/stage26_parameter_perf_noise_avx512_added_binary_r2_r4_runs5_seeds5/performance_summary.csv; repro/stage26_parameter_perf_noise_avx512_added_binary_r2_r4_runs5_seeds5/noise_summary.csv,FAB686_GITHUB
C5,Active-buffer/copyback fusion is a SAB-specific engineering optimization,SUPPORTED_ENGINEERING,allowed_if_scoped,The active-buffer path removes measured copyback traffic in the tested SAB sparse schedule.,This proves a new cryptographic primitive.,docs/stage20_active_buffer_log.md; docs/stage19_sparse_schedule_audit_log.md,FAB686_GITHUB
C6,Specialized MAT-AVX512 is useful,SUPPORTED_PRACTICAL_NOT_OPTIMAL,allowed_if_scoped,The specialized MAT-AVX512 path is practically useful in the recorded same-backend tests.,The MAT-AVX512 implementation is theoretically optimal.,docs/stage22_mat_avx512_limit_audit_log.md,FAB686_GITHUB
C7,Shared-mask or multi-body TFHE batching is novel to this project,BLOCKED_PRIOR_ART_RISK,block_or_limit,Do not claim this as novel; cite common-mask/shared-mask prior-art risk.,We invent shared-mask multi-body TFHE batching.,docs/stage27_related_work_refresh_log.md; repro/stage27_related_work_access_refresh.csv,CM2112_FULLTEXT; CM2112_DBLP
C8,PVW-SAB supports ternary/include-zero branches,BLOCKED_UNSUPPORTED_BRANCH,block_or_limit,State that PVW-SAB is currently scoped to the tested binary branches.,PVW-SAB supports ternary or include-zero branches.,docs/stage26_parameter_branch_log.md,FAB686_GITHUB
C9,Incomplete-NTT work is the same technique as PVW/MAT-SAB,BLOCKED_DIFFERENT_TECHNIQUE,block_or_limit,Cite incomplete NTT as adjacent amortized-bootstrapping acceleration.,Treat incomplete NTT as direct PVW/MAT shared-mask prior art without evidence.,docs/stage27_related_work_refresh_log.md; repro/stage27_related_work_access_refresh.csv,INTT696_EPRINT; INTT696_GITHUB
C10,The project is ready for theorem-level 2025/686 citation checks,BLOCKED_FULL_TEXT_REQUIRED,block_or_limit,Use metadata only for base paper identity until the full 2025/686 paper is manually inspected.,"Cite 2025/686 theorem, algorithm, remark, or experiment numbers from unavailable full text.",docs/stage27_full_related_work_gate_log.md; docs/stage27_related_work_refresh_log.md,FAB686_AUTHOR; FAB686_ACM; FAB686_EPRINT
