citation_key,in_tex,in_aux,in_bbl,status
DBLP:conf/asiacrypt/GuimaraesPL23,yes,yes,yes,PASS
DBLP:conf/asiacrypt/LiuW23,yes,yes,yes,PASS
DBLP:conf/ccs/GuimaraesP25,yes,yes,yes,PASS
DBLP:conf/eurocrypt/LiuW23,yes,yes,yes,PASS
DBLP:conf/eurocrypt/LiuW23a,yes,yes,yes,PASS
DBLP:conf/icalp/MicciancoS18,yes,yes,yes,PASS
DBLP:conf/pkc/BrakerskiGH13,yes,yes,yes,PASS
DBLP:conf/pkc/MicheliKMS24,yes,yes,yes,PASS
DBLP:journals/joc/ChillottiGGI20,yes,yes,yes,PASS
DBLP:journals/tches/BergeratBCOPT25,yes,yes,yes,PASS
DBLP:journals/tches/PaivaMHSY25,yes,yes,yes,PASS
