branch,r,seed,in_N,poly_N,h,r_prec,round_mismatches,final_mismatches,negative_controls_checked,copyback_count,status
include_zero,1,0,16,64,5,3,0,0,40,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,1,1,16,64,5,3,0,0,40,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,1,2,16,64,5,3,0,0,40,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,1,3,16,64,5,3,0,0,40,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,1,4,16,64,5,3,0,0,40,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,1,5,16,64,5,3,0,0,40,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,1,6,16,64,5,3,0,0,40,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,1,7,16,64,5,3,0,0,40,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,1,8,16,64,5,3,0,0,40,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,1,9,16,64,5,3,0,0,40,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,2,0,16,64,5,3,0,0,80,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,2,1,16,64,5,3,0,0,80,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,2,2,16,64,5,3,0,0,80,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,2,3,16,64,5,3,0,0,80,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,2,4,16,64,5,3,0,0,80,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,2,5,16,64,5,3,0,0,80,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,2,6,16,64,5,3,0,0,80,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,2,7,16,64,5,3,0,0,80,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,2,8,16,64,5,3,0,0,80,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,2,9,16,64,5,3,0,0,80,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,4,0,16,64,5,3,0,0,160,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,4,1,16,64,5,3,0,0,160,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,4,2,16,64,5,3,0,0,160,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,4,3,16,64,5,3,0,0,160,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,4,4,16,64,5,3,0,0,160,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,4,5,16,64,5,3,0,0,160,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,4,6,16,64,5,3,0,0,160,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,4,7,16,64,5,3,0,0,160,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,4,8,16,64,5,3,0,0,160,0,PASS_SPARSEMUL_PREFLIGHT
include_zero,4,9,16,64,5,3,0,0,160,0,PASS_SPARSEMUL_PREFLIGHT
ternary,1,0,16,64,5,3,0,0,40,0,PASS_SPARSEMUL_PREFLIGHT
ternary,1,1,16,64,5,3,0,0,40,0,PASS_SPARSEMUL_PREFLIGHT
ternary,1,2,16,64,5,3,0,0,40,0,PASS_SPARSEMUL_PREFLIGHT
ternary,1,3,16,64,5,3,0,0,40,0,PASS_SPARSEMUL_PREFLIGHT
ternary,1,4,16,64,5,3,0,0,40,0,PASS_SPARSEMUL_PREFLIGHT
ternary,1,5,16,64,5,3,0,0,40,0,PASS_SPARSEMUL_PREFLIGHT
ternary,1,6,16,64,5,3,0,0,40,0,PASS_SPARSEMUL_PREFLIGHT
ternary,1,7,16,64,5,3,0,0,40,0,PASS_SPARSEMUL_PREFLIGHT
ternary,1,8,16,64,5,3,0,0,40,0,PASS_SPARSEMUL_PREFLIGHT
ternary,1,9,16,64,5,3,0,0,40,0,PASS_SPARSEMUL_PREFLIGHT
ternary,2,0,16,64,5,3,0,0,80,0,PASS_SPARSEMUL_PREFLIGHT
ternary,2,1,16,64,5,3,0,0,80,0,PASS_SPARSEMUL_PREFLIGHT
ternary,2,2,16,64,5,3,0,0,80,0,PASS_SPARSEMUL_PREFLIGHT
ternary,2,3,16,64,5,3,0,0,80,0,PASS_SPARSEMUL_PREFLIGHT
ternary,2,4,16,64,5,3,0,0,80,0,PASS_SPARSEMUL_PREFLIGHT
ternary,2,5,16,64,5,3,0,0,80,0,PASS_SPARSEMUL_PREFLIGHT
ternary,2,6,16,64,5,3,0,0,80,0,PASS_SPARSEMUL_PREFLIGHT
ternary,2,7,16,64,5,3,0,0,80,0,PASS_SPARSEMUL_PREFLIGHT
ternary,2,8,16,64,5,3,0,0,80,0,PASS_SPARSEMUL_PREFLIGHT
ternary,2,9,16,64,5,3,0,0,80,0,PASS_SPARSEMUL_PREFLIGHT
ternary,4,0,16,64,5,3,0,0,160,0,PASS_SPARSEMUL_PREFLIGHT
ternary,4,1,16,64,5,3,0,0,160,0,PASS_SPARSEMUL_PREFLIGHT
ternary,4,2,16,64,5,3,0,0,160,0,PASS_SPARSEMUL_PREFLIGHT
ternary,4,3,16,64,5,3,0,0,160,0,PASS_SPARSEMUL_PREFLIGHT
ternary,4,4,16,64,5,3,0,0,160,0,PASS_SPARSEMUL_PREFLIGHT
ternary,4,5,16,64,5,3,0,0,160,0,PASS_SPARSEMUL_PREFLIGHT
ternary,4,6,16,64,5,3,0,0,160,0,PASS_SPARSEMUL_PREFLIGHT
ternary,4,7,16,64,5,3,0,0,160,0,PASS_SPARSEMUL_PREFLIGHT
ternary,4,8,16,64,5,3,0,0,160,0,PASS_SPARSEMUL_PREFLIGHT
ternary,4,9,16,64,5,3,0,0,160,0,PASS_SPARSEMUL_PREFLIGHT
