input_id,path,status,bytes
stage250_proof,repro/stage250_exact_dense_lower_bound_gap/proof_gate.csv,present,1363
stage250_lower_bound,repro/stage250_exact_dense_lower_bound_gap/lower_bound_component_matrix.csv,present,2583
stage280_profile,repro/stage280_cmux_mat_ep_residual_screen/profile_components.csv,present,9096
stage280_candidate,repro/stage280_cmux_mat_ep_residual_screen/candidate_comparison.csv,present,729
stage281_latency,repro/stage281_cmux_residual_repeated_gate/latency_summary.csv,present,513
stage282_noise_resource,repro/stage282_cmux_residual_noise_resource/noise_resource_summary.csv,present,1030
stage282_proof,repro/stage282_cmux_residual_noise_resource/proof_gate.csv,present,588
stage283_probe,repro/stage283_native_target_repeated_gate/native_access_probe.csv,present,124
stage283_proof,repro/stage283_native_target_repeated_gate/proof_gate.csv,present,667
stage166_terms,repro/stage166_shared_output_compact_algebra_gate/term_model.csv,present,571
