source_id,title,verification_status,allowed_use,required_caveat,primary_url
FAB686_2025,Fast amortized bootstrapping with small keys and polynomial noise overhead,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,Target baseline; our work must be framed as PVW/MAT-SAB on top of this schedule.,Use as source-verified related-work/metadata evidence; do not fabricate theorem-level claims not checked in the source.,https://eprint.iacr.org/2025/686
INCNTT25_696,Faster amortized bootstrapping using the incomplete NTT for free,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,Direct adjacent post-686 acceleration; backend/transform gains must be separated from PVW/MAT lane batching.,Use as source-verified related-work/metadata evidence; do not fabricate theorem-level claims not checked in the source.,https://eprint.iacr.org/2025/696
SHAREMASK25_2112,Sharing the Mask: TFHE Bootstrapping on Packed Messages,VERIFIED_OFFICIAL_METADATA,Strong prior-art risk for broad shared-mask/common-mask and packed-message novelty claims.,Use as source-verified related-work/metadata evidence; do not fabricate theorem-level claims not checked in the source.,https://doi.org/10.46586/tches.v2025.i4.925-971
BATCHBOOT26,BatchBoot: Fast Batched Bootstrapping for TFHE scheme and Practical Applications,VERIFIED_OFFICIAL_METADATA,Systems-level batched TFHE work; broad batched bootstrapping novelty is blocked.,Use as source-verified related-work/metadata evidence; do not fabricate theorem-level claims not checked in the source.,https://www.usenix.org/conference/usenixsecurity26/presentation/li-zhihao
LW23A_B,Batch Bootstrapping I/II,VERIFIED_OFFICIAL_METADATA,Batch/SIMD bootstrapping framework prior art; blocks broad amortized/SIMD novelty.,Use as source-verified related-work/metadata evidence; do not fabricate theorem-level claims not checked in the source.,https://dl.acm.org/doi/10.1007/978-3-031-30620-4_11
BGH2012_565,Packed Ciphertexts in LWE-based Homomorphic Encryption,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,PVW/LWE packing background; PVW packing itself is not novel.,Use as source-verified related-work/metadata evidence; do not fabricate theorem-level claims not checked in the source.,https://eprint.iacr.org/2012/565
CGGI2018_421,TFHE: Fast Fully Homomorphic Encryption over the Torus,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,TFHE and external-product background; our external-product use must be scoped to MAT/PVW-SAB integration.,Use as source-verified related-work/metadata evidence; do not fabricate theorem-level claims not checked in the source.,https://eprint.iacr.org/2018/421
MS2018_532,Ring Packing and Amortized FHEW Bootstrapping,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,Foundational amortized FHEW line; amortization over many bits is established prior art.,Use as source-verified related-work/metadata evidence; do not fabricate theorem-level claims not checked in the source.,https://eprint.iacr.org/2018/532
GPVL2023_014,"Amortized Bootstrapping Revisited: Simpler, Asymptotically-faster, Implemented",VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,Lineage for practical amortized bootstrapping; our claim must focus on 2025/686 PVW/MAT implementation.,Use as source-verified related-work/metadata evidence; do not fabricate theorem-level claims not checked in the source.,https://eprint.iacr.org/2023/014
DKMS2024_112,Faster Amortized FHEW Bootstrapping Using Ring Automorphisms,VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,Adjacent amortized acceleration via automorphisms; blocks broad acceleration novelty.,Use as source-verified related-work/metadata evidence; do not fabricate theorem-level claims not checked in the source.,https://eprint.iacr.org/2023/112
LW2023_910,"Amortized Functional Bootstrapping in less than 7ms, with O(1) polynomial multiplications",VERIFIED_PRIMARY_OR_OFFICIAL_METADATA,Adjacent amortized functional bootstrapping; performance wording must be context-specific.,Use as source-verified related-work/metadata evidence; do not fabricate theorem-level claims not checked in the source.,https://eprint.iacr.org/2023/910
