paragraph_id,section,sentence_id,support_status,evidence_type,evidence,required_qualification
P1_abstract_scope,Abstract,S1_object_metric,ALLOW,local_repro,repro/stage178_fullmat_perbit_frontier/per_bit_throughput.csv; repro/stage195_scoped_paper_repro_refresh/final_claim_ledger.csv,Use only for the implemented exact full-MAT path under recorded conditions.
P1_abstract_scope,Abstract,S2_primary_result,ALLOW_SCOPED,local_repro,repro/stage178_fullmat_perbit_frontier/per_bit_throughput.csv,"Report backend, parameters, seeds, and commit with the result."
P1_abstract_scope,Abstract,S8_manuscript_status,ALLOW_PROCESS,local_repro,repro/stage188_scoped_manuscript_skeleton/summary.csv; repro/stage195_scoped_paper_repro_refresh/final_claim_ledger.csv; repro/stage196_public_source_refresh/citation_gate.csv,Keep final citation verification as an explicit prerequisite.
P2_background_baseline,Background and Source Boundary,S3_target_metadata,ALLOW_METADATA_ONLY,public_metadata,repro/stage196_public_source_refresh/source_probe.csv,Bibliographic/source-existence use only.
P2_background_baseline,Background and Source Boundary,S4_code_route,ALLOW_METADATA_ONLY,public_metadata,repro/stage196_public_source_refresh/source_probe.csv,Use only for code-route visibility and provenance context.
P3_results,Measured Result,S1_object_metric,ALLOW,local_repro,repro/stage178_fullmat_perbit_frontier/per_bit_throughput.csv; repro/stage195_scoped_paper_repro_refresh/final_claim_ledger.csv,Use only for the implemented exact full-MAT path under recorded conditions.
P3_results,Measured Result,S2_primary_result,ALLOW_SCOPED,local_repro,repro/stage178_fullmat_perbit_frontier/per_bit_throughput.csv,"Report backend, parameters, seeds, and commit with the result."
P4_related_work,Related-Work Boundary,S5_related_work_boundary,ALLOW_CONSERVATIVE,public_metadata_plus_local_lit_matrix,repro/stage177_verified_literature_novelty_gate/literature_matrix.csv; repro/stage196_public_source_refresh/source_probe.csv,"State this as a review obligation, not as a dominance or exact-overlap result."
P5_limitations,Limitations and Next Gates,S6_compact_boundary,ALLOW_BLOCKED_ROUTE,local_repro,repro/stage192_compact_admission_route_selection/summary.csv; repro/stage195_scoped_paper_repro_refresh/final_claim_ledger.csv,Present as blocked future work or negative frontier.
P5_limitations,Limitations and Next Gates,S7_exact_frontier,ALLOW_BLOCKED_ROUTE,local_repro,repro/stage193_exact_addmul_dataflow_preflight/summary.csv; repro/stage194_exact_dft_conversion_preflight/summary.csv,Use to explain why no blind hot-path tuning is opened.
P5_limitations,Limitations and Next Gates,S8_manuscript_status,ALLOW_PROCESS,local_repro,repro/stage188_scoped_manuscript_skeleton/summary.csv; repro/stage195_scoped_paper_repro_refresh/final_claim_ledger.csv; repro/stage196_public_source_refresh/citation_gate.csv,Keep final citation verification as an explicit prerequisite.
