step,status,command,log,notes
stage40_postfreeze_verify,SKIPPED,python3 scripts/verify_stage40_freeze.py --check-only,,Set FINAL_RECHECK_POSTFREEZE_VERIFY=1 to run the Stage 40 no-write verifier before recheck outputs.
stage27_citation_probe,SKIPPED,bash scripts/run_stage27_citation_access_probe.sh,,Set FINAL_RECHECK_CITATION=1 to refresh network/full-text citation access.
stage27_related_work_access_probe,SKIPPED,python3 scripts/run_stage27_related_work_access_probe.py,,Set FINAL_RECHECK_RELATED_WORK=1 to refresh related-work source access.
stage28_perf_gate,SKIPPED,bash scripts/run_stage28_native_perf_counter_gate.sh,,Set FINAL_RECHECK_PERF=1 to refresh native perf-counter gate.
stage27_final_package,PASS,python3 scripts/build_stage27_final_package.py,repro/stage66_post_variant_final_recheck/final_recheck/stage27_final_package.log,command completed
external_evidence_intake,PASS,python3 scripts/register_external_evidence.py,repro/stage66_post_variant_final_recheck/final_recheck/external_evidence_intake.log,command completed
stage33_current_smoke,SKIPPED,bash scripts/run_stage33_current_smoke.sh,,Set FINAL_RECHECK_CURRENT_SMOKE=1 to refresh current scalar/PVW smoke evidence.
conditional_backlog_audit,PASS,python3 scripts/build_conditional_backlog_audit.py,repro/stage66_post_variant_final_recheck/final_recheck/conditional_backlog_audit.log,command completed
stage44_external_reprobe,SKIPPED,bash scripts/run_stage44_external_unlock_reprobe.sh,,Set FINAL_RECHECK_STAGE44_REPROBE=1 to refresh external full-text/native-perf unlock state.
stage55_external_paper_probe,SKIPPED,python3 scripts/build_stage55_external_paper_probe.py,,Set FINAL_RECHECK_STAGE55_PAPER_PROBE=1 to refresh 2025/686 DOI metadata and full-text route status.
final_goal_audit,PASS,python3 scripts/build_final_goal_completion_audit.py,repro/stage66_post_variant_final_recheck/final_recheck/final_goal_audit.log,command completed
remaining_blocker_dashboard,PASS,python3 scripts/build_remaining_blocker_dashboard.py,repro/stage66_post_variant_final_recheck/final_recheck/remaining_blocker_dashboard.log,command completed
stage50_performance_matrix,PASS,python3 scripts/build_stage50_performance_evidence_matrix.py,repro/stage66_post_variant_final_recheck/final_recheck/stage50_performance_matrix.log,command completed
stage51_goal_frontier,PASS,python3 scripts/build_stage51_goal_completion_frontier.py,repro/stage66_post_variant_final_recheck/final_recheck/stage51_goal_frontier.log,command completed
stage52_external_unlock_readiness,PASS,python3 scripts/build_stage52_external_unlock_readiness.py,repro/stage66_post_variant_final_recheck/final_recheck/stage52_external_unlock_readiness.log,command completed
stage57_scope_label_audit,PASS,python3 scripts/build_stage57_scope_label_audit.py,repro/stage66_post_variant_final_recheck/final_recheck/stage57_scope_label_audit.log,command completed
stage59_completion_route,PASS,python3 scripts/build_stage59_completion_route_readiness.py,repro/stage66_post_variant_final_recheck/final_recheck/stage59_completion_route.log,command completed
stage42_evidence_closure,SKIPPED,python3 scripts/build_stage42_evidence_closure_audit.py,,Set FINAL_RECHECK_STAGE42_CLOSURE=1 to regenerate the Stage 42 evidence-closure audit.
final_decision,SCOPED_ENGINEERING_CHAIN_READY__STRONGER_CLAIMS_BLOCKED,read repro/final_goal_completion_audit.csv A9,repro/final_goal_completion_audit.csv,current final goal audit decision
